Keyword,Frequency
Deep learning,25
Machine learning,24
Artificial intelligence,19
Neural network,15
Data science,15
Self-driving car,10
Virtual workplace,10
Medical imaging,8
Supercomputer,7
Computer vision,7
Graphics processing unit,6
Big data,6
Convolutional neural network,5
AI accelerator,5
Scientific method,5
List of Nvidia graphics processing units,5
Image segmentation,4
Generative adversarial network,4
Google Cloud Platform,4
Internet of things,4
Emerging technologies,4
Mixer (service),4
Cloud computing,4
Telecommuting,4
