Conference,Inc,Title,Length,Keywords,Entity,Singleton
Big Data 2019,Bouvet Norge AS,A Practical-ish Introduction to Data Science,143,"Data science,Machine learning","Data Science,Data Scientists,Data Science and Machine Learning,Python","used,described"
Big Data 2019,Wolfram Research Europe Ltd.,You can AI like an Expert,268,"Automatic content recognition,Computer vision,Image segmentation,Machine learning,Outline of object recognition,Wolfram Language","Wolfram,Rock, Paper,Wolfram Language","symbolic,predictor,possible,example"
Big Data 2019,RavenPack,Deep Learning for Lazy People... Neural Architecture Search with Automated Machine Learning,97,"Automated machine learning,Deep learning","Deep Learning,AML,Deep Learning Architectures","clairvoyant,able,aml,choosing"
Big Data 2019,Utrecht University,Predicting the Moment of Birth using Sensor Data in Dairy Cows,165,Pipeline (computing),,"calving,using,feature,herd,different,day,calf"
Big Data 2019,Microsoft,Knowledge and AI Powering Microsoft & Office 365 Products,312,Microsoft Bing,"Data,Artificial Intelligence,Knowledge & AI,Microsoft,Microsoft Cognitive Services,AI/Knowledge","knowledge,david,technology,service,powered,audience,enterprise,organization,aiknowledge"
Big Data 2019,codecentric AG,Practical Data Science - How to Track Your Development Process with DVC,93,"LSI Corporation,Machine learning,Patterns in nature,Solution",,evolved
Big Data 2019,Vinted,(Un)ethical Artificial Intelligence: How to Keep the AI Fair for Everyone,77,"Applications of artificial intelligence,Artificial Intelligence System,Artificial intelligence,Machine learning,Symbolic artificial intelligence,Trolley problem",,
Big Data 2019,Cloudera,Secure IoT Command Control and Exfil with Apache MiNiFi,134,"Cross-industry standard process for data mining,Internet of things,Open-source hardware,Pre-existing condition","Apache MiNiFi,central command & control,Apache NiFi,Mirai","command,deployed"
Big Data 2019,Legal IT Group,Big Data Legal Issues. GDPR and Contracts,114,"Educational technology,Exchange rate,Foreign exchange market,Social data revolution",,"determine,experience,describe,general,architecture,tim"
Big Data 2019,iunera GmbH & Co. KG,Predicting Cryptocurrency Exchange Rates with Stream Processing Social Data and Online Learning,54,"Cryptocurrency wallet,Exchange rate,Foreign exchange market,Social data revolution,Social media",,"determine,possible,twitter"
Big Data 2019,Schibsted,Routing Billions of Events a Day: How we Do Routing in Schibsted,214,"Apache Kafka,Data quality,Mixer (service),Multipath routing",Nordic,"consumer,allows,datasets,schibsted,using,providing"
