Conference,Inc,Title,Length,Keywords,Entity,Singleton
Digital Work 2020,MIT Sloan School of Management,Keynote Address: The CX-EX Connection (*All Times EDT),63,Massachusetts Institute of Technology,MIT,"digital,finding,dynamic,technology,management"
Digital Work 2020,"Dell Technologies, Vmware",Case Study: Building a Future Ready Workforce with VMware (*All Times EDT),56,"Bitwise operation,Dell Technologies,Dell monitors,Remote support",Dell Technologies,"moving,becoming"
Digital Work 2020,IBM,Effectively Embedding User Researchers and Designers on Agile Teams (*All Times EDT),151,"Design–build,Integration,Software design pattern","Philosophical & logistical,Agile","agile,designer,deliver,challenge,clearthat"
Digital Work 2020,AI in Business,Harnessing AI in the Next-Gen Digital Workplace (*All Times EDT),219,Virtual workplace,"Artificial Intelligence (AI,UK,All-Party Parliamentary Group,APPG,Katie,Success","pragmatic,culture,structure"
Digital Work 2020,Wells Fargo,Moving to Microservices: Building an Integrated Digital Experience (*All Times EDT),43,"Dependency injection,Integrated workplace management system,Model village,Service-oriented architecture,Virtual workplace","Wells Fargo's,Digital Workplace VP,Christy Punch",financial
Digital Work 2020,Facebook,Leaning Forward on the Employee Journey at Facebook (*All Times EDT),84,Telecommuting,"Facebook and Sameer Chowdhri, Global Head HR Solutions,Facebook",
Digital Work 2020,Ideal State,Selecting the Right Tech for Your Intranet: A Practical Approach To Getting It Right (*All Times EDT),116,"Management style,Organizational culture","Ideal State,Cystic Fibrosis Foundation,CFF,Beezy","cff,provider"
Digital Work 2020,SAP,What's Hot: Trends in Productivity and Experience in the Intelligent Digital Workplace (*All Times EDT),107,"Market trend,Virtual workplace","SAP,IDC","future,employee"
Digital Work 2020,SMG / CMSWire,[Roundtable Discussion] Developing a Future Ready Workforce (*All Times EDT),58,"Conversation,Learning curve,Telecommuting",,"covid19,crisis"
Digital Work 2020,Hootsuite,Moving Faster:  Ramping Up Internal Communications for Speed and Growth at Hootsuite (*All Times EDT),105,"Information exchange,Internal communications",Internal Communications at Hootsuite,"needed,team"
Digital Work 2020,Always Day One,Always Day One: How the Tech Titans Plan to Stay on Top Forever (*All Times EDT),223,"Virtual workplace,Workplace","Amazon,Google,Facebook,Microsoft,the tech giants',the tech giants","important,company,employee,strategy,secret,life,slowing"
Digital Work 2020,GE Healthcare,An Insider Guide to Building Stellar Learning & Development (*All Times EDT),138,Rpath,L&D,"organization,upskilling,reskilling,employee,skill,simply,evolving"
Digital Work 2020,Google,From Nesting to Neighborhoods: Minimize Spatial Scarcity and Improve Collaboration (*All Times EDT),70,"Datadog,Spatial memory",Google,"people,significant"
Digital Work 2020,Nexthink,Flexible Working - A New Era of Productivity (*All Times EDT),174,"Flextime,Telecommuting",optimal data,"technology,enable,opportunity,covid19"
Digital Work 2020,VMware,Leveraging a Digital Workspace App to Accelerate Employee Onboarding (*All Times EDT),149,"Citrix Workspace,Milestone (project management)","VMWare,Workspace ONE","office,organization,building"
Digital Work 2020,ServiceNow,Unleashing the Power of Technology to Deliver Great Employee Experiences (*All Times EDT),116,"Agile application,Digital signal processing",,"workplace,employee,company"
Digital Work 2020,Gannett,Activating Change Management Principles in your Learning and User Engagement Initiatives (*All Times EDT),129,Tool,,"training,initiative,workplace,communication,cycle,adoption,adopting,angst"
Digital Work 2020,IEEE ICICLE,AI + Human: A Total Reimagination of Learning and Work (*All Times EDT),135,"Artificial intelligence,Cloud computing,Computer performance,Moore's law",,"change,technology,employee,era,entered,industry"
Digital Work 2020,Reworked / CMSWire,The 2020 State of Digital Workplace Report (*All Times EDT),71,"COVID-19 pandemic in California,Virtual workplace","Managing Editor,VP of Research",surprise
Digital Work 2020,Fast Company,Keynote Address - What I Saw at the Workplace Revolution: Lessons from the Digital Frontlines (*All Times EDT),87,Information system,"Fortune,The Wall Street Journal",entrepreneur
Digital Work 2020,Workgrid,Employee Experience Needs a New Approach (*All Times EDT),60,Integrated workplace management system,Workgrid,"creating,challenge,siloed"
Digital Work 2020,Reworked/CMSWire,[Roundtable Discussion] Meeting the Employee Experience and Culture Expectations of Your Organization (*All Times EDT),42,"Conversation,Principlism",,"building,opportunity,peer"
Digital Work 2020,Shopify,It's in The Vault: Rebuilding our Company-Wide Wiki (*All Times EDT),167,Intranet,,comprehensively
Digital Work 2020,EIS,Streamlining Information Flows in the Digital Workplace: The Role of Artificial Intelligence and Knowledge Engineering (*All Times EDT),157,"Artificial intelligence,Digital Taylorism,Information architecture,Virtual workplace",the AI Powered Enterprise,"knowledge,getting"
Digital Work 2020,Microsoft,Work is Not a Place -- Its an Activity! (*All Times EDT),138,"Collaboration,Collaborative project management,Corporate governance,Corporate tax",Firstline Workers,"working,business,workspace,highlighted"
Digital Work 2020,Simpplr,The Intranet Industry Changed. Were You Paying Attention? (*All Times EDT),86,"List of Tanglin episodes (Episodes 1-508),Smart grid",,"organization,shaken"
Digital Work 2020,"RiverStone, Workgrid",4 Strategies for Creating a No Fail Employee Experience (*All Times EDT),107,Market environment,The Riverstone Group,"turning,figuring,productive,efficient"
Digital Work 2020,LumApps,How to Keep Employees Engaged: The Strategic Role of the Digital Workplace (*All Times EDT),82,"Research,Virtual workplace",,"informed,productive"
Digital Work 2020,Sinequa,How to Build a Digital Workplace that Actually Works (*All Times EDT),136,Virtual workplace,,"information,sinequa,experience"
Digital Work 2020,StitchDX,Hybrid Work: the Requisite Merger of Intranet & Teams into a Modern Digital Workplace (*All Times EDT),80,Virtual workplace,"COVID,Microsoft,Digital Workplace","company,becoming"
Digital Work 2020,Environmental Science Associates,Defining the Modern Intranet - the Backbone of Employee Experience (*All Times EDT),137,Intranet,,"employee,engagement,explore,productivity,garner,organization"
Digital Work 2020,Maker Turtle,Transformation Tactics: Managing Big Change (*All Times EDT),60,,"SVP,CIO,IDEX Corporation","series,story,thinking"
Digital Work 2020,Optimal Disruption,Keynote Address: Measuring Your Way to Digital Workplace ROI and Success (*All Times EDT),102,"Modern Family,Telecommuting,Virtual workplace",ROI,"business,using,creating,imperative"
