title,description,company,industry
Accelerating Unsupervised SAR Polarimetric Image Segmentation by Parallel Wishart Classifier [P21999],"Our poster presents the unsupervised segmentation of SAR polarimetric images. These images are multi-band areal images of the Earth captured by satellites with special sensors. The process required to segment these images is massive, and the task of segmentation is crucial, as through it we needed to extract important physical information of the area under observation, such as the geometric orientation, structure, shape, and configuration. We propose a much faster parallel implementation of Wishart Classification Based technique that outperforms the vanilla methods by 240%.","Shivam Patel, Visiting Research Student, University of Cambridge",Aerospace / National labs
AI @ The Network Edge (Presented by HPE) [S22480],"It's at the extreme edge of your network, where most data generation occurs. In this session, we'll cover the unique system, software, and data capabilities required to extend AI to the edge in extreme environments. We will also discuss how to extend the data fabric that AI depends on from the edge to other processing elements within the Core and Cloud.","Jeffrey Winterich, DoD Account Chief Technologist, Hewlett Packard Enterprise",Aerospace / National labs
Anomaly Detection on Aircraft Sensor Data Using Deep Learning [s21454],"A vast amount of aircraft sensor data still remains unexploited due to its volume and shear complexity. In 2019, Airbus released, as part of a four-month long challenge, a 65+ gigabyte dataset recorded from real aircraft systems. The goal was to detect a set of anomalies from an unlabeled multidimension time series dataset. We'll describe our solution, which is based on a two-stage approach using auto encoders and long short-term memory neural networks, and how we reached third place out of 160 teams competing. You'll learn the benefits of using autoencoder to achieve dimension reduction in a clustering problem and how LSTM-based neural networks can be applied to detect anomalies in an unsupervised way. We'll dive into the technical details of the solution and discuss the results obtained, as well as potential next steps. Basic knowledge of deep learning-techniques such as Autoencoder or LSTM will help, but isn't required.","Stephane Rion, Deep Learning Scientist, Teradata",Aerospace / National labs
Complex 60 GPU CFD Simulations for Aerospace Gearboxes [s21788],"We'll present a unique new computational fluid dynamics approach to solving the extremely complex multiphase case of an aerospace gearbox model using a purely GPU-based CFD solver, Altair nanoFluidX. The challenge is to better understand the complex flow inside such machinery, as good oil supply to all the key areas inside the gearbox is critical for efficient heat management, lubrication, and fuel consumption. We'll introduce the numerical method used, main challenges of the current state-of-the-art methods, CFD results (flow fields), and performance numbers from the cluster, going all the way up to 60 GPUs.","Milos Stanic, Product Manager, Altair Engineering",Aerospace / National labs
Deep Learning-Based Anti-Drone System [P21900],This poster is about research on detecting and tracking drones by applying deep learning technology to capture drones that are illegally operated.,"Hanseob Lee, Ph.D. Candidate, KAIST",Aerospace / National labs
Deep-Learning Model for Finding New Superconductors [P21328],"We report the first deep-learning model for finding new superconductors. We represented the periodic table in such a way that deep learning can learn it. Although we used only the chemical composition of materials as information, we obtained an R2 value of 0.92 for predicting Tc for materials in a database of superconductors. We obtained three remarkable results. The deep-learning method can predict superconductivity for a material with a precision of 62\%, which shows the usefulness of the model; it found the recently discovered superconductor CaBi2, which is not in the superconductor database; and it found Fe-based high-temperature superconductors (discovered in 2008) from the training data before 2008. These results open the way for the discovery of new high-temperature superconductor families.","Tomohiko Konno, Researcher, National Institute of Information and Communications Technology",Aerospace / National labs
Landing on Mars: Petascale Unstructured-Grid Computational Fluid Dynamics Simulations on Summit [S21584],"We'll present a campaign to investigate the use of supersonic retropropulsion as a means to land payloads large enough to enable human exploration on Mars. The world’s largest supercomputer, Summit, located at Oak Ridge National Laboratory, performs simulations. We'll review the engineering and computational challenges associated with retropropulsion aerodynamics and the need for large-scale resources like Summit. A GPU implementation of NASA Langley Research Center's FUN3D flow solver is used for these simulations. We'll compare the development history, performance, and scalability with those of contemporary HPC architectures. Using an optimized GPU-accelerated computational fluid dynamics solver on Summit has enabled simulations well beyond conventional computing paradigms.","Eric Nielsen, Senior Research Scientist, Nasa Langley Research Center",Aerospace / National labs
Large-Scale Landslides Detection from Satellite Images with Incomplete Labels [P21920],"Earthquakes and tropical cyclones cause suffering for millions of people around the world every year. The resulting landslides exacerbate the effects of these disasters. Landslide detection is, therefore, critical for protecting human life and livelihood in mountainous areas. To tackle this problem, we propose a combination of satellite technology and deep neural networks (DNNs). We evaluate the performance of multiple DNN-based methods for landslide detection on actual satellite images of landslide damage using the capabilities of high-performance GPUs. Our analysis demonstrates the potential for a meaningful social impact on disasters and rescue.","Masanari Kimura, Engineer, Ridge-i inc.",Aerospace / National labs
LUCID: High-Resolution Ground-Based Observations of LEO Satellites with Multi-Frame Blind Deconvolution [s21270],"High-resolution imaging of objects in space from a ground-based observatory is achievable with a sufficiently large aperture, but atmospheric turbulence causes significant degradation. Computationally expensive algorithms can mitigate the blurring effects of turbulence, and these algorithms have only recently begun to leave the domain of CPU-bound computation. We'll describe space domain awareness, the imaging-through-turbulence problem, and algorithms that attempt to solve it. We'll also describe Likelihood-based Uncertainty Constrained Iterative Deconvolution (LUCID), a new multi-frame blind deconvolution implementation that uses CUDA to extract high-resolution images of low-Earth-orbit (LEO) satellites from a series of short-exposure observations.","Michael Werth, Physicist, The Boeing Company",Aerospace / National labs
Super-Resolution of Digital Terrain Data [P21822],"Given a digital elevation model (DEM) at some fixed-grid post spacing, we'd like to better interpolate between the posts to produce a DEM of higher resolution. Intuitively, single-image super-resolution techniques can do that. A neural network is trained on low-resolution elevation data (for example, 90m post spacing) until it can produce a reasonable approximation of higher-resolution elevation data, such as 30m post spacing. Dictionary-based interpolation is achieved through a statistical mapping from low-resolution (LR) features to high-resolution (HR) features, as learned by the hidden layers in the network. This approach shows promising results in producing pseudo-HR elevation models from LR models, and if applied to HR data, can produce pseudo-VHR models suitable for meshing with lidar scans.","Theodore Hromadka, Senior Principal Software Engineer, Centauri",Aerospace / National labs
