title,description,company,industry
Affordable Modeling of Complex Extreme Events in the Built Environment Using GPU-accelerated CFD [S21373],"We'll explain how Arup and Zenotech are making progress in resolving speed, accuracy, and cost challenges with CFD algorithmic advances, here exemplified by Zenotech’s zCFD code, and GPU acceleration. Using a particularly challenging turbulent flow phenomenon exhibiting fleeting but extreme pressure peaks as a test case, we'll show the outcome of validation tests carried out on a DGX-1 system and compared with comprehensive, high-quality wind-tunnel test data. We'll also demonstrate how in-situ visualization of 3D flows, using NVIDIA IndeX and ParaView Catalyst, opens powerful new possibilities for finding insights into complex fluid dynamical behaviors.","Tariq Saeed, Engineer, Arup",Engineering / Transportation
Anomaly Detection of Diesel Engine Using Deep Learning with Xavier [s21394],"We've developed an anomaly-detection machine-learning algorithm that can be easily applied to a real machine using NVIDIA's Xavier. Many studies using machine-learning algorithms have been conducted recently, but an embedded board is essential in the field, where PC-based computing power such as construction equipment cannot be used. Using embedded boards like NVIDIA's TX2 and Xavier, it was easy to apply the trained model to real equipment.","Gyebong Jang, Ph.D. Candidate, Yonsei University",Engineering / Transportation
A Software Systolic Array on GPUs [P22277],"We propose a versatile high-performance execution model, inspired by systolic arrays, for memory-bound regular kernels running on CUDA-enabled GPUs. More specifically, we build a virtual systolic array on the top of CUDA architecture. We formulate a systolic model that shifts partial sums by CUDA warp primitives for the computation. We also employ register files as a cache resource in order to operate the entire model efficiently. We demonstrate the effectiveness and the versatility of the proposed model for a wide variety of stencil kernels that appear commonly in HPC, and also convolution kernels (increasingly important in deep-learning workloads). Our algorithm outperforms the top reported state-of-the-art stencil implementations, including implementations with sophisticated temporal and spatial blocking techniques. For 2D convolution of general filter sizes and shapes, our algorithm is on average 2.5 times faster than NVIDIA’s NPP on Tesla V100 and P100 GPUs.","Mohamed Wahib, Senior Researcher, AIST-Tokyo Tech Real World Big-Data Computation Open Innovation Laboratory, National Institute of Advanced Industrial Science and Technology",Engineering / Transportation
Designing Better Cities with Deep Learning and Performance Simulation [S21493],"We'll present the use of conditional generative adversarial networks to augment the architectural design process with real-time performance analytics, including wind flow and internal daylight. Building-performance simulation tools have been used for decades in architecture and urban design, but their time and computational expense make them ineffective during the early stages when they are most relevant. We'll describe the challenges in building the dataset, encoding multi-variate parameters, and translating the model's output into the most useful format. We'll also present our exploration of different neural network architectures, selection of the appropriate loss function, and optimization of the training process to fully utilize the RTX 8000 GPU. Finally, we'll touch on our considerations in deploying the trained model with the goal of the real-time inference, and how we applied it on projects in practice.","Sarah Mokhtar, Computational Designer, Kohn Pedersen Fox Associates",Engineering / Transportation
"Drones, Machetes, Fire, and VR: 21st-Century Tools for Social and Sustainable Impact [s21515]","We'll describe and compare workflows developed for projects on the islands of Kosrae, Micronesia and Vorovoro, Fiji. These projects—collaboratively executed with indigenous locals, universities, social-impact organizations, and technology corporations—built immersive experiences to support grant proposals, feasibility studies, and mitigation plans. Our climate is changing, and our global population is increasing. Remote, indigenous communities are developing to accommodate growth and responsible tourism in the face of catastrophic environmental and political forces. Technology is now available to support and promote development of remote communities in an environmentally and culturally sustainable manner. Specifically, photogrammetry and virtual reality enable effective decisions about mitigating the effects of climate change and developing sustainably by empowering stakeholders with intuitive, immersive experience of site conditions from new points of view.","Dace Campbell, Director of Product Management in Construction, McKinstry",Engineering / Transportation
GPU Rendering for Architectural Visualization [S21657],"At Neoscape, we've created architectural visualization for over two decades. We've also waited days and weeks for our work to render in our CPU render farm — one of the biggest pain points for us and our clients. Now, NVIDIA’s RTX GPU technology rendering has turned days into hours. We'll explain how Neoscape has been experimenting and implementing some of these new technologies with different goals in mind for our diverse clientele, from Chaos group GPU rendering to Epic Games real-time ray tracing.","Carlos Cristerna, Principal, RadLab Director, Neoscape",Engineering / Transportation
High-Resolution Image Reconstruction on Supercomputers [P21724],"Computed tomography (CT) is a widely used technology that requires compute-intense algorithms for image reconstruction. We propose an efficient implementation that takes advantage of the heterogeneity of GPU-accelerated systems by overlapping the filtering and back-projection stages on CPUs and GPUs, respectively. We also propose a distributed framework for high-resolution image reconstruction on state-of-the-art GPU accelerated supercomputers. The framework relies on an elaborate interleave of MPI collective communication steps to achieve scalable communication. We also demonstrate the scalability and instantaneous CT capability of the distributed framework by using up to 2,048 V100 GPUs to solve 4K and 8K problems within 30 seconds and 2 minutes, respectively.","Peng Chen, Ph.D. Student, Tokyo Institute of Technology",Engineering / Transportation
Immersive Reality Improving the Construction Industry [S22168],"The health care industry is continually looking to improve how doctors, nurses, and patients view hospitals and care centers throughout the country. With a primary focus on making hospitals and immediate care centers more welcoming, building teams are embracing new technology and using virtual mock-ups to revolutionize how patients and customers see and interact with spaces. Use of virtual reality mock-ups will bring notable changes in planning, acquiring new equipment, combining old and new standards, and incorporating feedback from doctors into ROI results.","Tom Bossow, VDC Coordinator, Mortenson Construction",Engineering / Transportation
Latest Advancements for Production Rendering with V-Ray GPU and Real-Time Raytracing with Project Lavina [S22197],"We'll cover the latest improvements in V-Ray GPU, including out-of-core rendering and RTX support through OptiX 7, as well as real-time raytracing with DXR and Project Lavina.","Alexander Soklev, V-Ray GPU Team Lead, Chaos Group",Engineering / Transportation
Leveraging OptiX 7 for High-Performance Multi-GPU Raytracing on Head-Mounted Displays [S21425],"NVIDIA recently introduced OptiX 7, which provides low-level access to the RTX technology and raytracing (RT) cores of the Turing architecture. Its CUDA-centric nature enables direct control over GPU resources — particularly in a multi-GPU context — which allows for a much more efficient scalability compared to previous OptiX versions. We'll show how to utilize OptiX 7 for full-frame raytracing on professional head-mounted displays (HMDs). Specifically, we'll demonstrate how OptiX is used in a dual-GPU setup to rapidly generate stereoscopic output, tailored to the specific optical characteristics of an HMD. Finally, we'll provide an overview of how RTX and OptiX 7 are integrated into ESI’s in-house rendering engine Helios, and will demonstrate the potential of real-time raytracing with practical use cases.","Andreas Dietrich, Senior Software Developer, ESI Group",Engineering / Transportation
Low-Cost OpenACC Porting of Matrix Solver with FP21-FP32-FP64 Computing: an Earthquake Application [P21886],"We show that OpenACC is useful for GPU porting of a practical application with FP21-FP32-FP64 mixed-precision computing. FP21 is our custom 21-bit floating-point data type for scientific computing. Here, we ported a soil liquefaction analysis solver that was developed for manycore CPU-based computers. The OpenACC-ported solver achieved a 10.7-fold speedup over the CPU-based solver on a system where the ratio of peak FP64 FLOPS was CPU:GPU = 1:10.2. It took only three weeks for a beginning GPU programmer to port the solver to GPU.","Takuma Yamaguchi, Ph.D. Student, University of Tokyo",Engineering / Transportation
N-body Adaptive Optimization of Lattice Towers [P21881],"There are tens of millions of power transmission towers In the United States alone. The dilemma central to their cost optimization is that a beam’s cross-sectional area is proportional to both its strength and cost — that is, a thicker beam, while able to support a given load with less strain, will cost more and weigh more heavily on the beams supporting it. By varying the cross section of each beam, we want to make towers as light and inexpensive as possible without sacrificing their structural integrity. Known as truss-sizing optimization, this problem is differential in nature and heavily dependent on tower geometry, lending it to a computational approach. Drawing inspiration from the atrophy and hypertrophy of muscles, we developed and evaluated an optimization algorithm that adaptively resizes beams based on their stress — a process that produces rapid results and allows the application of both static and dynamic loads, setting it apart from popular algorithms in this intensely studied field.","Bryant Wyatt, Math Professor, Tarleton State University",Engineering / Transportation
PBR Material Creation from a Single Picture in Substance Alchemist [S22194],"After presenting the first AI-powered Delighter at GTC 2019, and after Substance Alchemist was released during Adobe Max in Nov 2019, we'll present the next steps of the technology and the work engaged to recover a full high-resolution tileable PBR material and how the RTX Tensor Cores boost the performance for the Substance Alchemist release to come in 2020.","Rosalie Martin, Senior Software Engineer, Adobe",Engineering / Transportation
Ray-Traced Virtual Reality in Omniverse [S22029],"Ominverse is a new platform developed by NVIDIA to share scenes and models between different editors and viewers. Ray tracing is used to accurately visualize content within the Omniverse Kit viewer. As quality ray-tracing effects (such as reflections, soft shadows, and ambient occlusion) are expensive to compute, we'll discuss how we were able to use eye-tracked foveation and warped-space rendering to achieve sufficient performance and quality gains for a virtual reality viewer. We'll also show how adding multi-frame explicit history reprojection to our de-noising strategy better handles the motion of VR interactions. To further improve performance, we'll discuss our strategies for dividing work between multiple GPUs. Streaming allows us to decouple the multi-GPU rendering server from the headset. Finally, we'll demonstrate our application to allow you to experience first-hand the benefits of eye-tracked foveation and ray tracing.","Jeroen Stinstra, Dev Tech Medical Imaging, NVIDIA",Engineering / Transportation
Real-Time Ray-Traced Ambient Occlusion of Complex Scenes using Spatial Hashing [S22170],"Ambient occlusion is an effective way to approximate global illumination: in essence, the closer a point is to its surroundings, the darker it gets. For real-time rendering, this effect is often approximated using screen-space techniques, leading to visible artifacts. Ray tracing provides a unique way to increase the rendering fidelity by accurately computing the distance to the surrounding objects, but it introduces sampling noise. Using the NVIDIA RTX technology available with Vulkan, we propose a real-time ray-traced ambient occlusion technique in which noise is removed in world space. Using spatial hashing for efficient storage, we'll cover all the technical challenges to make ambient occlusion a production feature usable in CAD viewports with scenes comprising thousands of instances and hundreds of millions of polygons.","Pascal Gautron, Senior Developer Technology Engineer, NVIDIA",Engineering / Transportation
Semi-Supervised Three-Dimensional Reconstruction with Generative Adversarial Networks [P21908],"Existing methods for 3D reconstruction often produce holes, distortions, and obscured parts in the reconstructed 3D models, or they can only reconstruct voxelized 3D models for simple isolated objects. So they are not adequate for real usage. This poster's focus is to achieve high-quality 3D reconstruction performance by adopting the generative adversarial network (GAN) approach. We'll propose a novel, semi-supervised 3D reconstruction framework (SS-3D-GAN), which can iteratively improve any raw 3D reconstruction models by training the GAN models to converge. This new model only takes real-time 2D observation images as the weak supervision and doesn't rely on prior knowledge of shape models or any referenced observations. Through the qualitative, quantitative experiments and analysis, SS-3D-GAN shows compelling advantages over the current state-of-the-art methods on the benchmark datasets. We'll also prove the acceleration effect of NVIDIA GPUs in the 3D reconstruction research and applications.","Chong Yu, Senior Architect, NVIDIA",Engineering / Transportation
Tensor Core Accelerated Sparse GEMM [P21866],"Sparse matrix multiplication is an important tool in many scientific applications, like graph analytics and deformable object modeling. It's also valuable in deep-learning networks with sparse inputs. We'll present a novel way to utilize the tensor cores of the latest NVIDIA GPUs to accelerate sparse matrix-matrix multiplication. Our approach splits the operand matrices into tiles and schedules them to tensor cores for fast matrix multiplication, outperforming two state-of-the-art libraries, CUSP and cuSPARSE, by an average of 2x.","Orestis Zachariadis, Ph.D. Candidate, University of Cordoba",Engineering / Transportation
Virtual Reality's Continued Impact in the World of AEC [s22129],"Not too long ago, it seemed that every enterprise company had an R&D team trying to decide if ""video game technology"" could be used for their visualization needs. The days of pilot projects have come and gone, and virtual reality is definitely here to stay. In this talk, Theia Interactive will introduce you to a variety of AEC customers using virtual reality and Unreal Engine on a daily basis to give them an edge in this new era of graphics.","Stephen Phillips, CTO, Theia Interactive",Engineering / Transportation
A Study of Pedestrian Protection CAE Using GAN [S21438],"According to the World Health Organization, there are over 270,000 pedestrians involved in traffic fatal accidents. That is 22% of all traffic fatalities verified in the world in 2013. To reduce pedestrian fatalities, third-party organizations in many countries have held New Car Assessment Program (NCAP) tests to evaluate pedestrian-protection performance. For that reason, an efficient method to design pedestrian-protection performance is required for automobile development for all over the world. Computer-aided engineering (CAE) is often used to verify pedestrian-protection performance. But as the necessity for pedestrian protection expands globally, expectations to improve efficiency have recently risen. We decided to reduce CAE verification time and improve the accuracy of CAE using deep learning. We also studied visualizing the basis for judgment in the trained models.","Osamu Ito, Assistant Chief Engineer, Honda R&D",Engineering / Transportation
Automating DNN Design for DRIVE AGX: Platform-Aware Neural Architecture Search [S21666],"In the past few years, wide applications of deep neural networks (DNN) have contributed to significant progress in various fields such as image classification, object detection, and segmentation. Most of the successful DNNs, such as VGG and ResNet, are designed by humans, which requires in-depth domain expertise and effort. While DNNs have become deeper and wider, the need for fast inference is increasing on (edge) computing devices, while accuracy must be maintained. Therefore, developing state-of-the-art neural networks for resource-constrained applications has become challenging. We'll present our progress on the automated design of neural networks using hardware-aware neural architecture search (NAS) techniques. We show concrete end-to-end examples from differentiable and latency-reflected search of optimal network architectures to their deployment on NVIDIA’s DRIVE AGX platforms using TensorRT for autonomous-driving-related applications.","Le An, Senior Deep Learning Software Engineer – Autonomous Vehicles, NVIDIA",Engineering / Transportation
