title,description,company,industry
3D Deep Learning in Function Space [s21764],"Recent advances in GPU technology and scalable algorithms have led to breakthroughs in deep learning. In particular, convolutional neural networks (CNNs) achieve state-of-the-art results in longstanding vision problems, such as image classification or object detection. However, autonomous agents that navigate and interact in our world need to reason in 3D. Unlike images in the 2D case, it is not clear how to represent 3D geometry and how to make it amenable for deep-learning techniques. We'll introduce our approach to learning 3D representations in function space. First, we'll show how this approach can represent arbitrary topologies without discretization at fixed memory cost. Then we'll extend this framework to learning to predict not only the shape of an object, but also its texture and motion. Finally, we'll show how we can scale our method to real-world scenarios using state-of-the art NVIDIA GPU technology.","Michael Niemeyer, Ph.D. Student, MPI-IS and University of Tübingen",Higher Education / Research
Accelerated Computing Teaching Kit for University Educators: Introduction and Use Cases [S22414],"As performance and functionality requirements for computing applications rise, industry demand for new graduates familiar with accelerated computing with GPUs grows. This session introduces the newest version of the Accelerated Computing Teaching Kit: a comprehensive set of academic labs, university teaching material, and e-book for use in introductory and advanced parallel programming courses. The teaching materials start with the basics and focus on programming GPUs, and include advanced topics such as optimization, advanced architectural enhancements, and integration of a variety of programming languages. We'll present a successful course-adoption case at Iowa State University — one of many worldwide — along with student feedback. The course at Iowa State covers an introduction to parallel computing using GPUs and its application to solid modeling and CAD. As part of the course outcomes, students were able to demonstrate the use of GPU-accelerated computing in their research by working on an individual course project that uses some of the techniques taught in the class. Finally, we'll discuss brand-new teaching kit modules covering CUDA 11, multi-GPU, and the latest libraries.","Joseph Bungo, DLI Program Manager, NVIDIA",Higher Education / Research
Accelerated Data Science in the Classroom: Teaching Analytics and Machine Learning with RAPIDS [S22417],"The demand for accelerated data-science skill sets among new graduate students grows rapidly as the computational demands for data analytics applications soar. This session introduces a novel yet reproducible approach to teaching data-science topics in a graduate data science course at the Georgia Institute of Technology, taught by Professor Polo Chau. Haekyu Park, a computer science Ph.D. student and teaching assistant of the course, will co-present key pedagogical considerations and solutions that help students learn GPU-accelerated data science and analytics using the open-source RAPIDS framework. For example, we present a hybrid, flexible approach for students to learn, where they can choose to experiment with RAPIDS using a local NVIDIA DGX-1 system, or the cloud, or both.","Polo Chau, Associate Professor, The Georgia Institute of Technology",Higher Education / Research
Accelerated Light-Transport Simulation using Neural Networks [S21852],"Neural network-based techniques have taken many fields by storm, but until recently have seen relatively little use in the field of physically-based rendering. This has begun to change. We'll present techniques for accelerating Monte Carlo integration of light transport without introducing bias by utilizing functions learned by neural networks for variance reduction. Our techniques yield on-par or higher performance than competing machine learning-based techniques at equal sample counts and generalize beyond physically-based rendering, being applicable to other high-dimensional integration problems such as Bayesian inference and reinforcement learning.","Thomas Mueller, Senior Research Scientist, NVIDIA",Higher Education / Research
Accelerating Large Seismic Simulation Code with PACC Framework [P21901],"The pipelined accelerator (PACC) helps lower the hurdle for implementing out-of-core stencil computation, such as large seismic simulations. However, the out-of-core applications themselves are facing data-movement bottlenecks because improvement of accelerators dwarfs that of interconnects. In this poster, we introduce temporal blocking techniques to reuse on-chip data, and propose a data-mapping scheme to eliminate data movement on the host side. The data-mapping scheme accelerates the program by 2.5x compared to previous work and by 35x compared to an OpenMP-based program. However, performance is still bound by data movement between the host and device, so we need to come up with further data-centric strategies. Moreover, the degradation in execution time of PACC code is about 25% compared to an in-core OpenACC code, which should be reduced if we can design further data-centric strategies.","Jingcheng Shen, Ph.D. Student, Osaka University",Higher Education / Research
ALFRED: Action Learning From Realistic Environments and Directives [P22310],"ALFRED is a benchmark for learning a mapping from natural language instructions and egocentric vision to sequences of actions for household tasks. Long composition rollouts with non-reversible state changes are among the phenomena we include to shrink the gap between research benchmarks and real-world applications. ALFRED consists of expert demonstrations in interactive visual environments for 25,000 natural language directives. These directives contain both high-level goals like ""Rinse off a mug and place it in the coffee maker"" and low-level language instructions like ""Walk to the coffee maker on the right."" ALFRED tasks are more complex in terms of sequence length, action space, and language than existing vision-and-language task datasets. We show that a baseline model designed for recent embodied vision-and-language tasks performs poorly on ALFRED, suggesting that there is significant room for developing innovative grounded visual language understanding models with this benchmark.","Daniel Gordon, Ph.D. Student, University of Washington",Higher Education / Research
Analytic Spherical Harmonic Gradients for Real-Time Rendering with Many Polygonal Area Lights [P22297],"We develop a novel analytic formula for the spatial gradients of the spherical harmonic coefficients for uniform polygonal area lights. The result is a significant generalization, involving the Reynolds transport theorem to reduce the problem to a boundary integral, for which we derive a new analytic formula, showing how to reduce a key term to an earlier recurrence for SH coefficients. The implementation requires only minor additions to existing code for SH coefficients. The results also hold implications for recent efforts on differentiable rendering. We show that SH gradients enable very sparse spatial sampling, followed by accurate Hermite interpolation. This enables scaling PRT to hundreds of area lights with minimal overhead and real-time frame rates. Moreover, the SH gradient formula is a new mathematical result that potentially enables many other graphics applications.","Lifan Wu, Ph.D. Student, University of California, San Diego",Higher Education / Research
An Improved Immersed Boundary-Lattice Boltzmann Method for Incompressible Fluid-Flow Simulations on GPU [P21931],"We introduce the immersed boundary and the lattice Boltzmann method for fluid-solid interaction. The advantage of the lattice Boltzmann method is that it can be easily parallelized. We use a computational study to demonstrate how the immersed body discretization affects the numerical results. We introduce a modification that improves stability, and compare the performance of both methods using several benchmarks problems. These problems show how the immersed body discretization affects the numerical results, mainly the overall drag force and the permeability of the discretized body boundary. Finally, we discuss a performance analysis of different solvers for linear systems.","Pavel Eichler, Ph.D. Student, Faculty of Nuclear Sciences and Physical Engineering, Czech Technical University, Prague",Higher Education / Research
A Reinforcement Learning Approach for Sequential Spatial Transformer Networks [s21941],"In this session, we discuss the applications of reinforcement learning (RL) for computer vision applications such as classification. We describe how we combine the idea of spatial transformer networks with RL to improve the classifiers' robustness against noise and clutter.","Fatemeh Azimi, Ph.D. Researcher, DFKI",Higher Education / Research
Astaroth: an API for Three-dimensional Stencil Computations on GPUs [S21332],"We'll present the Astaroth library that uses multiple GPUs efficiently in 3D stencil computations. Astaroth provides a C99 API, a domain-specific language, and a compiler for translating programs written in that domain-specific language into efficient CUDA kernels. We'll show that it is possible to achieve near hand-tuned performance while still being able to describe problems using a high-level language. Astaroth meets the demands in computational sciences, where large stencils are often used to attain sufficient accuracy. Maximizing the utilization of caches is challenging, especially in computational physics, where multiple simulated fields interact with each other and should be held in caches simultaneously. Astaroth takes inspiration from graphics and image-processing pipelines and generates a pipeline optimized for processing large 3D stencils.","Johannes Pekkila, Research Assistant, Aalto University School of Science",Higher Education / Research
