title,description,company,industry
"Accelerate ML Lifecycle with Containers, Kubernetes and NVIDIA GPUs (Presented by Red Hat) [S22516]","Data scientists desire a self-service, cloud-like experience to easily access ML modeling tools, data, and GPUs to rapidly build, scale, reproduce, and share ML modeling results with peers and developers. Containers and kubernetes platforms, integrated with NVIDIA GPUs, provide these capabilities to accelerate the training, testing, and deploying the ML models in production quickly. We'll provide an overview of how these technologies are helping solve real-world customer challenges. We'll walk through the various customer use cases and solutions associated with the combination of these technologies. We'll review the key capabilities required in a containers and kubernetes platform to help data scientists easily use technologies (such as Jupyter Notebooks, ML frameworks, etc.) to innovate faster. Finally, we'll share the platform options (for example, Red Hat OpenShift, Kubeflow), and examples of how data scientists are accelerating ML initiatives with containers and Kubernetes.","Tushar Katarki, Product Manager, Red Hat",Software / Cloud Services
AWDF: An Adaptive Weighted Deep Fusion Architecture for Multi-Modality Learning [P21985],"Deep model fusion is getting lots of attention in dealing with multi-modality learning problems. We propose an Adaptive Weighted Deep Fusion scheme (AWDF) to capture potential relationships among various input sources. It integrates the feature-level and decision-level fusion in one framework. To address the limitations of existing fusing models with fixed weights, we also propose a new scheme named Cross Decision Weights Method (CDWM). It can dynamically learn the weight for each input branch during the fusion process instead of utilizing predefined weights. To evaluate the performance of AWDF, we conducted experiments on three different real-world datasets: Wild Business Terms, Iceberg Detection, and CareerCon. Our experiments demonstrate that AWDF outperforms other fusion systems by a large margin. (This work has been accepted by IEEE Big Data 2019 Special Session on Intelligent Data Mining).","Qinghan Xue, Applied Data Scientist, IBM",Software / Cloud Services
Container-Based Artificial Intelligence Applications Deployment Platform for GPU High Performance Computing Clusters [P21902],"A container-based AI applications deployment platform was proposed and implemented in our center to solve root privileges and network issues in HPC clusters. A virtual machine is used to simulate the targeted HPC cluster, which has the same or similar runtime environment including compilers, shared libraries, and GPU drivers based on a GPU card attached by PCI pass-through way. Users can have root privileges of virtual machines to set up containers. Further, a user can create containers and deploy AI applications by network tools, because each user has an exclusive virtual machine running on an independent server that connects to internet. The deploy platform and the HPC clusters are connected by a 10Gb/s, or even 100Gb/s network so that users can transfer the container images quickly and easily.","Rongqiang Cao, Associate Professor, Computer Network Information Center, Chinese Academy of Sciences",Software / Cloud Services
CTR Inference Optimization on GPU [s21416],"The CTR (click-through-rate) model is one of the most important models in internet businesses such as search, recommendation, and advertising. The performance of CTR online service has become a critical impact on user experience/enterprise revenue. With the development of deep learning technology, the CTR model began to adopt deeper and more complex DNN structure, and the computation scale and complexity continued to rise, which demanded more computing power. With the evolution of the CTR model in recent years and the promotion of NVIDIA GPU computing platform, more and more companies have begun to use NVIDIA GPU to accelerate the CTR online inference model, and achieved significant acceleration and got commercial benefits. We'll introduce how to profile and locate the issues when doing optimization CTR inference model on NVIDIA GPU, and provide the general methods on how to solve the issues and get satisfying speedup.","David Wu, Senior Software Engineer, NVIDIA",Software / Cloud Services
Deploying your Models to GPU with ONNX Runtime for Inferencing in Cloud and Edge Endpoints [s21379],"Models are mostly trained targeting high-powered data centers for deployment — not low-power, low-bandwidth, compute-constrained edge devices. There is a need to accelerate the execution of the ML algorithm with GPU to speed up performance. GPUs are used in the cloud, and now increasingly on the edge. And the number of edge devices that need ML model execution is exploding, with more than 5 billion total endpoints expected by 2022. ONNX Runtime is the inference engine for accelerating your ONNX models on GPU across cloud and edge. We'll discuss how to build your AI application using AML Notebooks and Visual Studio, use prebuild/custom containers, and, with ONNX Runtime, run the same application code across cloud GPU and edge devices like the Azure Stack Edge with T4 and low-powered device like Jetson Nano. We'll also demonstrate distribution strategies for those models, using hosted services like Azure IoT Edge. You'll take away an understanding of the various tradeoffs for moving ML to the edge, and how to optimize for a variety of specific scenarios.","Manash Goswami, Principal Program Manager, Microsoft",Software / Cloud Services
Edge Computing for Building Machine Learning Pipelines Using Azure Stack (Presented by Microsoft) [S22473],"Machine learning models need to be built closer to the source due to latency and data sovereignty requirements. Microsoft offers industry-leading hybrid cloud solutions, such as Azure Stack Hub and Azure Stack Edge in partnership with NVIDIA GPUs, to drive innovation and deliver a consistent cloud experience for these edge applications. Learn how to unlock customer-use cases by building production-scale models using data-science pipelines on the edge.","Kirtana Venkatraman, Program Manager 2, Microsoft",Software / Cloud Services
Faster Transformer [s21417],"Recently, models such as BERT and XLNet, which adopt a stack of transformer layers as key components, show breakthrough performance in various deep learning tasks. Consequently, the inference performance of the transformer layer greatly limits the possibility that such models can be adopted in online services. First, we'll show how Faster Transformer optimizes the inference computation of both the transformer encoder and decoder layers. In addition to optimizations on the standard transformer, we'll get into how to customize Faster Transformer to accelerate a pruned transformer encoder layer together with the CUTLASS library.","Bo Yang Hsueh, DevTech , NVIDIA",Software / Cloud Services
From Hours to Minutes: The Journey of Optimizing Mask-RCNN and BERT Using MXNet [S22483],"Training large deep learning models like Mask R-CNN and BERT takes lots of time and compute resources. Using MXNet, the Amazon Web Services deep learning framework team has been working with NVIDIA to optimize many different areas to cut the training time from hours to minutes.","Haibin Lin, Applied Scientist, AWS AI, Amazon",Software / Cloud Services
Google Cloud AutoML Video and Edge Deployment [S22022],"Google Cloud will be presenting AutoML Edge Video, a solution using NVIDIA GPUs. AutoML Edge Video allows users to train customized models without knowing how to tune parameters, using Google’s AutoML. In this talk we will focus on our end to end solution for Video Classification and Video Object tracking. To train a model, we use multiple NVIDIA GPUs in parallel for hyper-parameter tuning and transfer learning, allowing us to return high-performance models quickly. We will show how to export models to the edge using a frozen Tensorflow graph, and how to optimize for NVIDIA GPUs including Jetson and Tesla T4.","Yongzhe Wang, Software Engineer, Google",Software / Cloud Services
GradZip: Gradient Compression Using Alternating Matrix Factorization for Large-scale Deep Learning [P22289],"Our poster first explains the need for a dense and homomorphic algorithm for gradient compression in deep learning, in contrast to the conventional sparse-encoding-based approaches. Then, it details the thinking that came up with GradZip step by step, mainly modifying the existing matrix-factorization in the context of deep learning that reuses the latest all-reduce result as a part of alternating matrix-factorization. The final section captures the key performance result against the popular ResNet50 to demonstrate the effectiveness and efficiency of the proposed compression algorithm.","Minsik Cho, Program Director, IBM",Software / Cloud Services
