,Keyword,Frequency
0,Neural network,6
1,Medical imaging,6
2,Deep learning,5
3,Artificial intelligence,3
4,Machine learning,3
5,Data science,3
6,Self-driving car,3
7,Transformer (machine learning model),2
8,Scientific method,2
9,Federated learning,2
10,Supercomputer,2
11,Nvidia Drive,2
12,Deeplearning4j,2
13,Scalability,1
14,Numeric keypad,1
15,Material,1
16,Molecular mass,1
17,Earth observation satellite,1
18,General circulation model,1
19,Weather forecasting,1
20,CTR,1
21,Dot-com bubble,1
22,Model organism,1
23,Recommender system,1
24,Ruf CTR,1
25,Statistical inference,1
26,Key (engineering),1
27,Principal component analysis,1
28,Convolutional neural network,1
29,PyTorch,1
30,Aphantasia,1
31,Flow visualization,1
32,Scientific visualization,1
33,Direct memory access,1
34,GUID Partition Table,1
35,Memory operations per second,1
36,Oz the Great and Powerful,1
37,Qualifications framework,1
38,Recurrent neural network,1
39,Extended reality,1
40,Compiler,1
41,Python (programming language),1
42,CUDA,1
43,Computer cluster,1
44,Contextual Query Language,1
45,Online analytical processing,1
46,Evaluation measures (information retrieval),1
47,Chatbot,1
48,Natural language processing,1
49,Speech recognition,1
50,Speech synthesis,1
51,You didn't build that,1
52,Computational chemistry,1
53,A-ha,1
54,Color image pipeline,1
55,Digital image processing,1
56,Comparison of web frameworks,1
57,List of NFC-enabled mobile devices,1
58,Underwater diving,1
59,Endurance training,1
60,Rote learning,1
61,Graphics Core Next,1
62,IOS SDK,1
63,OpenAI,1
64,Oracle SQL Developer,1
65,Medical record,1
66,Dig Deep (album),1
67,Microsoft and open source,1
68,Old and New Light,1
69,BERT (language model),1
70,Neurology,1
71,Stanford prison experiment,1
72,Verona van de Leur,1
73,IBM Power Systems,1
74,Differentiated instruction,1
75,Capability-based addressing,1
76,Semantic memory,1
77,American Association for the Advancement of Science,1
78,Multinomial distribution,1
79,Cloud gaming,1
80,New Payments Platform,1
81,Ray tracing (graphics),1
82,Warez scene,1
83,Ambient occlusion,1
84,Global illumination,1
85,Real-time computer graphics,1
86,3D reconstruction,1
87,PCI configuration space,1
88,Image segmentation,1
89,AI accelerator,1
90,DLA,1
91,Nvidia,1
92,Self-organizing network,1
93,MetropolisHastings algorithm,1
94,OpenShift,1
95,Cell therapy,1
96,Dick Van Dyke filmography,1
97,Sergei Lemberg,1
98,Temporal information retrieval,1
99,CFD in buildings,1
100,Computational fluid dynamics,1
101,Highly accelerated life test,1
102,List of AMD accelerated processing units,1
