,Keyword,Frequency
1,Oracle Cloud,3
2,User interface,3
4,Financial technology,2
5,Core business,2
6,Microsoft Azure,2
7,Samsung SDS,2
8,Machine learning,3
9,Oracle Database,2
10,Astrological aspect,1
11,Internet of things,1
12,Speciation,1
13,Analysis of algorithms,1
14,Complexity management,1
15,Data management,1
16,FAIR data,1
17,Reliability engineering,1
18,Software development process,1
19,Abcam,1
20,Artificial intelligence,2
21,Technology,1
22,Buckminster Fuller,1
23,Customer relationship management,1
24,Real Change,1
25,Safe Swiss Cloud,1
26,Database,1
27,Master data,1
28,Service integration and management,1
29,Supply chain,1
30,Empresas Públicas de Medellín,1
31,Intel Core,1
32,Garbage Pail Kids,1
33,VMware Infrastructure,1
34,Google Cloud Platform,1
35,Oracle Data Integrator,1
36,Oracle Enterprise Resource Planning Cloud,1
37,SAP Cloud Platform,1
38,Oracle Applications,1
39,Online transaction processing,1
40,Free and open-source software,1
41,Object storage,1
42,Open source,1
43,Software versioning,1
