Conference,Inc,Title,Length,Keywords,Entity,Singleton
NVIDIA GTC 2020,NVIDIA,A Partitioned Global Address Space Library for Large GPU Clusters [S22093],143,Scalability,"NVSHMEM,PGAS,PCI-E,NVLink,Infiniband,CUDA,CPU,QUDA,GPU-Enabled QCD,Chroma,MILC,Breadth First Search","communication,quda,initiate,application,openshmem"
NVIDIA GTC 2020,NVIDIA,Effective Use of Mixed Precision for HPC [S21725],54,Numeric keypad,HPC,"practical,adopting"
NVIDIA GTC 2020,NVIDIA,Exploiting Novel GPU Parallelism in the SNAP Interatomic Potential [S21976],123,"Material,Molecular mass","SNAP,IAP,GPU,Kokkos","snap,iap,geometric,quantum,structure,calculation,memory"
NVIDIA GTC 2020,NVIDIA,GPU-Accelerated Deep Learning for Weather Climate and Space [s21255],101,"Deep learning,Earth observation satellite,General circulation model,Weather forecasting","the National Oceanic and Atmospheric Administration,NASA",porting
NVIDIA GTC 2020,NVIDIA,CTR Inference Optimization on GPU [s21416],144,"CTR,Dot-com bubble,Model organism,Recommender system,Ruf CTR,Statistical inference",,"container,technology,easily,gpus,provide,capability,customer,example"
NVIDIA GTC 2020,NVIDIA,Faster Transformer [s21417],92,"Key (engineering),Principal component analysis,Transformer (machine learning model)","BERT,XLNet,CUTLASS","computing,issue,advertising"
NVIDIA GTC 2020,NVIDIA,PyTorch from Research to Production [S21928],83,"Convolutional neural network,Neural network,PyTorch",PyTorch,"umn,generative,uncertainty"
NVIDIA GTC 2020,NVIDIA,Wide and Deep Recommender Inference on GPU [S21559],137,Deep learning,"Tensorflow,NVIDIA,GPU","simple,image,sequence,timeseries,language,information"
NVIDIA GTC 2020,NVIDIA,Accelerating AI Workflows with NGC [S22421],121,Artificial intelligence,"NVIDIA,NGC","solution,device,realtime,operate,using,deepstream,azure,pipeline,nvidia,vision"
NVIDIA GTC 2020,NVIDIA,Advanced Scientific Visualization with NVIDIA Omniverse [S21973],216,"Aphantasia,Flow visualization,Scientific visualization","NVIDIA,3D,PhysX. Further","gpus,gpu"
NVIDIA GTC 2020,NVIDIA,A Faster Radix Sort Implementation [S21572],75,"Direct memory access,GUID Partition Table,Memory operations per second",Gkey/s,"operational,gpus,solution"
NVIDIA GTC 2020,NVIDIA,AIaaS: Scaling AI Infrastructure for the Enterprise from DGX-1 to SuperPOD [S21996],135,"Artificial intelligence,Oz the Great and Powerful","GPU,GUI,AIaaS,DGX-2","omniverse,scientist,content"
NVIDIA GTC 2020,NVIDIA,An Overview of GPU Recurrent Neural Network Performance [S21301],59,"Qualifications framework,Recurrent neural network,Scientific method","RNN,GPU","container,nvidia,getting,enterprise"
NVIDIA GTC 2020,NVIDIA,CLOUDXR: Streaming AR and VR [S22178],97,Extended reality,"OpenVR,XR","performance,advantage,disadvantage"
NVIDIA GTC 2020,NVIDIA,Combined Python/CUDA JIT for Flexible Acceleration in RAPIDS [S21393],126,"Compiler,Python (programming language)","RAPIDS/cuDF,Python,CUDA,Jitify,cuDF,the Python UDF,C++,RAPIDS","language,automate,integrate,architecture"
NVIDIA GTC 2020,NVIDIA,Fast Distributed Joins with RAPIDS and UCX [s21482],136,,"RAPIDS cuDF,UCX,GPU,RAPIDS,NVLINK,Infiniband,DGX-2,GB/s throughput,IB,GB/s","gpus,multigrid,application,many,evaluated,discussed,numerical"
NVIDIA GTC 2020,NVIDIA,From High to Low Level: A Comparative Study of Programming Approaches for NVIDIA GPUs [S21308],146,,"GPU,Python,CUDA C,Numba,CuPy",
NVIDIA GTC 2020,NVIDIA,Optimizing Work Scheduling and Memory Usage for Complex Database Queries on GPUs [P22017],119,"CUDA,Computer cluster,Contextual Query Language,Online analytical processing","GPU,CUDA Graphs,RAPIDS cuDF","training,introduction,production"
NVIDIA GTC 2020,NVIDIA,Software-Based Compression for Analytical Workloads [S21597],151,,"GPU-GPU,GPU,LZ,Fannie Mae's","multiple,gpu,memory"
NVIDIA GTC 2020,NVIDIA,Toward INT8 Inference: Deploying Quantization-Aware Trained Networks using TensorRT [s21664],137,Evaluation measures (information retrieval),"FP16,FP32","single,development,pytorch,create"
