Conference,Inc,Title,Length,Keywords,Entity,Singleton,industry
NVIDIA GTC 2020,Arup,Affordable Modeling of Complex Extreme Events in the Built Environment Using GPU-accelerated CFD [S21373],96,Newton's method,"CFD,GPU","zenotech,using,arup,exemplified,zcfd",Engineering / Transportation
NVIDIA GTC 2020,Yonsei University,Anomaly Detection of Diesel Engine Using Deep Learning with Xavier [s21394],67,Turing machine,"NVIDIA,Xavier","using,nvidias,xavier,equipment,developed",Engineering / Transportation
NVIDIA GTC 2020,National Institute of Advanced Industrial Science and Technology,A Software Systolic Array on GPUs [P22277],144,Systolic array,"CUDA,HPC,algorithm,NVIDIA,NPP","gpus,cuda,stencil,convolution,implementation,kernel,propose,memorybound",Engineering / Transportation
NVIDIA GTC 2020,Kohn Pedersen Fox Associates,Designing Better Cities with Deep Learning and Performance Simulation [S21493],133,"Architectural Design,Daylight saving time,Generative adversarial network",,architecture,Engineering / Transportation
NVIDIA GTC 2020,McKinstry,Drones Machetes Fire and VR: 21st-Century Tools for Social and Sustainable Impact [s21515],122,"Kosrae,Workflow","Kosrae,Micronesia,Vorovoro,Fiji","indigenous,technology,climate,remote,community,developing,vorovoro",Engineering / Transportation
NVIDIA GTC 2020,Neoscape,GPU Rendering for Architectural Visualization [S21657],85,,"NVIDIA,GPU,Chaos,Epic Games","neoscape,gpu,technology,rendering,rtx",Engineering / Transportation
NVIDIA GTC 2020,Tokyo Institute of Technology,High-Resolution Image Reconstruction on Supercomputers [P21724],105,"Apache Spark,CT scan,Iterative reconstruction","CT,GPU,MPI","propose,gpus,respectively,communication,requires",Engineering / Transportation
NVIDIA GTC 2020,Mortenson Construction,Immersive Reality Improving the Construction Industry [S22168],83,"Healthcare industry,Patient",ROI,"mockups,improve,country,primary",Engineering / Transportation
NVIDIA GTC 2020,Chaos Group,Latest Advancements for Production Rendering with V-Ray GPU and Real-Time Raytracing with Project Lavina [S22197],27,"Nvidia RTX,Project 23900 amphibious assault ship,Pythagoras ABM,Ray tracing (graphics),Video card","DXR,Project Lavina","optix,dxr",Engineering / Transportation
NVIDIA GTC 2020,ESI Group,Leveraging OptiX 7 for High-Performance Multi-GPU Raytracing on Head-Mounted Displays [S21425],123,"GeForce 30 series,Nvidia RTX,Ray tracing (graphics),Turing (microarchitecture)","RTX,GPU,ESI,Helios",demonstrate,Engineering / Transportation
NVIDIA GTC 2020,University of Tokyo,Low-Cost OpenACC Porting of Matrix Solver with FP21-FP32-FP64 Computing: an Earthquake Application [P21886],83,"Graphics processing unit,HTTP 404,Quantum computing","GPU,CPU","solver,cpubased,openacc,useful",Engineering / Transportation
NVIDIA GTC 2020,Tarleton State University,N-body Adaptive Optimization of Lattice Towers [P21881],163,"Electric power transmission,Mathematical optimization,Physiological cross-sectional area,Transmission tower",the United States,"beam,heavily,proportional,thicker",Engineering / Transportation
NVIDIA GTC 2020,Adobe,PBR Material Creation from a Single Picture in Substance Alchemist [S22194],59,List of Bollywood films of 2019,"RTX Tensor Cores,Substance",presenting,Engineering / Transportation
NVIDIA GTC 2020,NVIDIA,Ray-Traced Virtual Reality in Omniverse [S22029],137,"New Payments Platform,Ray tracing (graphics),Warez scene",,"viewer,quality,rendering,performance,strategy,ominverse,different",Engineering / Transportation
NVIDIA GTC 2020,NVIDIA,Real-Time Ray-Traced Ambient Occlusion of Complex Scenes using Spatial Hashing [S22170],123,"Ambient occlusion,Global illumination,Real-time computer graphics",CAD,"using,technique,noise,essence,surroundings,darker",Engineering / Transportation
NVIDIA GTC 2020,NVIDIA,Semi-Supervised Three-Dimensional Reconstruction with Generative Adversarial Networks [P21908],142,"3D reconstruction,Scientific method","3D,GAN","ss3dgan,observation,gan",Engineering / Transportation
NVIDIA GTC 2020,University of Cordoba,Tensor Core Accelerated Sparse GEMM [P21866],77,"Deep learning super sampling,Matrix multiplication,Sparse matrix,Tool","CUSP,cuSPARSE",,Engineering / Transportation
NVIDIA GTC 2020,Theia Interactive,Virtual Reality's Continued Impact in the World of AEC [s22129],80,"Pilot experiment,Virtual reality","Theia Interactive,AEC,Unreal Engine","seemed,decide,used",Engineering / Transportation
NVIDIA GTC 2020,Honda R&D,A Study of Pedestrian Protection CAE Using GAN [S21438],124,"Traffic collision,World Health Organization","the World Health Organization,New Car Assessment Program,NCAP,CAE","cae,fatality,reduce,improve,according",Engineering / Transportation
NVIDIA GTC 2020,NVIDIA,Automating DNN Design for DRIVE AGX: Platform-Aware Neural Architecture Search [S21666],130,"Deep learning,Neural network","VGG,NAS,optimal,NVIDIA","dnns,become,using,architecture,contributed",Engineering / Transportation
NVIDIA GTC 2020,KAIST (Korea Advanced Institute of Science and Technology),Beyond-Line-of-Sight (BLOS) Perception System for Autonomous Vehicles [P21842],72,"Perception,Unmanned aerial vehicle,Vehicular automation,Visual perception",,technology,Engineering / Transportation
NVIDIA GTC 2020,INC.,Bike-Share Demand Prediction from Partial Future data Using Conditional Variational AutoEncoders [P21739],120,Deep learning,"Variational AutoEncoders,Conditional Variational AutoEncoders,Partial Future","bikeport,bikeshare,rebalance",Engineering / Transportation
NVIDIA GTC 2020,Autodesk,Bringing the Autodesk VRED Raytracer to the GPU [s21344],54,"Autodesk,Virtual prototyping","VRED,GPU",nvidia,Engineering / Transportation
NVIDIA GTC 2020,Foretellix,Coverage-Driven Verification for Ensuring AV and ADAS Safety [S22183],147,"Evolution,Safety data sheet,Self-driving car",,"verification,reached",Engineering / Transportation
NVIDIA GTC 2020,National Taiwan University,Deep Learning for 3D Vision (Point Clouds) [S21112],147,"Emerging technologies,Self-driving car","VR/AR,lidar,RGB-D,3D,voxel,ScanNet,KITTI","example,camera",Engineering / Transportation
NVIDIA GTC 2020,fka GmbH,Drones as a Tool for Development and Safety Validation of Automated Driving Functions [P21913],136,Self-driving car,Germany,"roaduser,using,trajectory,drone,recording,naturalistic,intersection,dataset",Engineering / Transportation
NVIDIA GTC 2020,Ford Motor Company,Eliminating Hidden Bias in Autonomy and Beyond [S22701],95,"Ford Motor Company,K-means clustering,Lion (2016 film),Machine learning,Regulation",Ford,,Engineering / Transportation
NVIDIA GTC 2020,KAIST,"End-to-End Learning with Combined ""Real-World"" and ""Sim-World"" Datasets [P22060]",90,"Kubeflow,Self-driving car,Simulation,Simulation hypothesis","KIAPI,Korea","kiapi,using,datasets",Engineering / Transportation
NVIDIA GTC 2020,Ford Motor Company,Generating Diverse and Photorealistic Synthetic Data for Real-World Perception Tasks [S21321],131,"Generative adversarial network,Screen tearing",,"translation,discriminator,realworld",Engineering / Transportation
NVIDIA GTC 2020,Ltd.,Geolocation of Traffic Lights and Signs Using Dashcam: Toward Low-Cost Map Maintenance [P21912],125,"Self-driving car,Shooting of Philando Castile",the Global Navigation Satellite System,"maintained,possible,timeconsuming",Engineering / Transportation
NVIDIA GTC 2020,NVIDIA,GPU-Accelerated Data Pipeline and Machine Learning on DRIVE AGX using RAPIDS [S21665],140,"Data science,Nvidia Drive,PCI configuration space","NVIDIA,RAPIDS","analytics,rapid,demonstrating,include,pipeline,driving,gpus,driver",Engineering / Transportation
NVIDIA GTC 2020,Nagoya Univeristy,Improving Performance Limits of Obstacle-Avoidance Driving with Randomized Model Predictive Control Using GPU [P22242],92,,GPU,"controller,samplingbased,solve,optimization,increase,car,performance",Engineering / Transportation
NVIDIA GTC 2020,Toyota Technological Institute,Object Recognition and Tracking Utilizing Millimeter-Wave Radar by Deep Neural Networks [s21188],136,Rotational spectroscopy,CNN,"applying,parking,shape,necessary,adverse",Engineering / Transportation
NVIDIA GTC 2020,Zoox,Optimizing TensorRt Conversion for Real-Time Inference On Autonomous Vehicles [S22198],123,Neural network,"GPU,Zoox","operation,inference,accuracy,zoox,pipeline,training,optimized,deployment",Engineering / Transportation
NVIDIA GTC 2020,Numeric Systems GmbH,Pacefish: GPU-Accelerated CFD from Scratch to Market [S21926],126,"List of computer simulation software,Turbulence","GPU,Pacefish",challenge,Engineering / Transportation
