Conference,Inc,Title,Length,Keywords,Entity,Singleton,industry
NVIDIA GTC 2020,Inc.,3D Analysis Data Generation from X-ray Data for HealthTech by DGXs [P22304],121,"Laboratory information management system,Regenerative medicine","Japan,3D,Tesla","imaging,indicator,generate,xray,nearly",Healthcare & Life Sciences
NVIDIA GTC 2020,Sydney Neuroimaging Analysis Centre,Accelerate Quantitative Clinical Neuroimaging Analysis with AI: Steps Toward Personalized Disease Progression Monitoring in Clinical Neurology [S21421],126,"Medical imaging,Neuroimaging","GPU,imaging quantitative biomarker research",biomarker,Healthcare & Life Sciences
NVIDIA GTC 2020,Antoni van Leeuwenhoek Hospital and Netherlands Cancer Institute,Accelerating Cancer Research: VDI by Day Compute by Night [S21845],124,"Antonie van Leeuwenhoek,List of Billboard Hot 100 chart achievements and milestones","The Netherlands Cancer Institute,NKI-AVL,VDI,GPU","infrastructure,vdi,researcher,patient",Healthcare & Life Sciences
NVIDIA GTC 2020,NVIDIA,Accelerating Quantum Chemistry Simulations with AI [S21273],71,"Computational chemistry,Machine learning",,discovery,Healthcare & Life Sciences
NVIDIA GTC 2020,National Taiwan University,Acceleration of Wavefront Analysis Using Zernike Polynomial Fitting [P21849],119,"LASIK,Tomography,Video card,Wavefront .obj file,Zernike polynomials","GPU,Zernike","angle,cell,analyze,biological",Healthcare & Life Sciences
NVIDIA GTC 2020,Girls Computing League,Accurate Multiple Sclerosis Lesion Segmentation Using Deep Learning [P21889],135,"Brain damage,DNN,Image segmentation,Neural network,SqueezeNet",U-Net,"using,disease,mri",Healthcare & Life Sciences
NVIDIA GTC 2020,Emory University,AI Methods to Transfer Natural Language into Actionable Knowledge in Medicine: From Radiology Pathology Reports to Social Media Posts [S22150],138,"Natural language processing,Public health","NLP,CT,MR,US","improve,mining,clinical,ultimately",Healthcare & Life Sciences
NVIDIA GTC 2020,NVIDIA,A New Era of Medical Imaging [S22554],77,"A-ha,Color image pipeline,Deep learning,Digital image processing,Medical imaging",Deep Learning,"image,every",Healthcare & Life Sciences
NVIDIA GTC 2020,Allen Institute for Cell Science,Animation Segmentation and Statistical Modeling of Biological Cells Using Microscopy Imaging and GPU Compute [s21944],119,"Cell biology,Scientific modelling","GPU,the Allen Institute",,Healthcare & Life Sciences
NVIDIA GTC 2020,NVIDIA,Building a Medical Imaging AI Ecosystem Using Clara SDKs [s22295],95,Comparison of web frameworks,"Clara Imaging Application Framework,Iterative &,Clara Application Platform,Clara Imaging","ecosystem,annotation,training,deployment",Healthcare & Life Sciences
NVIDIA GTC 2020,Memorial Sloan Kettering Cancer Center,Building Blocks for Machine Learning Integration into Clinical Workflow [S22189],113,"Building block,Machine learning,Radiology,Workflow",algorithm,"application,diagnostics",Healthcare & Life Sciences
NVIDIA GTC 2020,Optum,Building Optimized Low-Cost Scalable Health-Care Enterprise Deep Learning Services Platform with NVIDIA TensorRT Inference Server and Kubernetes [s21570],132,,"GPUs,GPU","service,resource,learning,gpus,gpu,deployment,balanced,kubernetes",Healthcare & Life Sciences
NVIDIA GTC 2020,NVIDIA,Clara Developer Day: Clara Train SDK Performance Walkthrough and Deep Dive [S22717],42,"Data science,List of NFC-enabled mobile devices,Underwater diving",Clara Train v3.0,dummy,Healthcare & Life Sciences
NVIDIA GTC 2020,NVIDIA,Clara Developer Day: Federated Learning using Clara Train SDK [S22564],133,"Artificial intelligence,Endurance training,Federated learning,Rote learning","Federated Learning,Clara Train SDK","dive,client",Healthcare & Life Sciences
NVIDIA GTC 2020,NVIDIA,Clara Developer Day: Getting Started with Clara Train for High Performance & Iterative Experimentation with AutoML [S22563],61,"Data science,Graphics Core Next,IOS SDK,Medical imaging",Clara Train SDK,,Healthcare & Life Sciences
NVIDIA GTC 2020,NVIDIA,Clara Developer Day: Scalable and Modular Deployment Powered by Clara Deploy SDK [S22565],131,"Medical imaging,OpenAI,Oracle SQL Developer","DICOM,VNA,Clara Train","deployment,pipeline,operator",Healthcare & Life Sciences
NVIDIA GTC 2020,Fermata,Computer Vision in Agriculture: Racing with Pests and Diseases [P22001],86,"Autonomous system (Internet),General-purpose computing on graphics processing units,Machine learning,Technology",GPU,"create,detection,disease,plant,early,pest,solution",Healthcare & Life Sciences
NVIDIA GTC 2020,University of Michigan,Data-Driven Approach of Coronary Vessel Reconstruction Using X-ray Angiography [P21799],115,"Angiography,Coronary arteries,Coronary artery disease",,"vessel,used",Healthcare & Life Sciences
NVIDIA GTC 2020,Harvard Medical School,Data-Efficient Weakly Supervised Histology Classification Using Contrastive Predictive Coding [P22025],141,"Annotation,Neural network","CPC,ROC,MIL","feature,mil,using,learning,cpc,limited,performance,trained",Healthcare & Life Sciences
NVIDIA GTC 2020,Nagahama Institute of Bio-Science and Technology,Deep Learning-Aided Label-Free Real-Time and Time-Lapse âCell Visualizationâ Technology that Enables Live/Dead Cell Discrimination and Counting [P21952],125,"Data visualization,Drug discovery,Live cell imaging,Lymphoma,Stem cell,Technology",,labeling,Healthcare & Life Sciences
NVIDIA GTC 2020,Optum Technology,Deep Learning in Health Care: from Voicebots to Disease Prediction [S21128],258,"Caller ID,Deep learning,List of Nvidia graphics processing units","NPS,United Health Group,Next Best Action","condition,provider,identify,nemo,quality,versus,patient,health",Healthcare & Life Sciences
NVIDIA GTC 2020,Icahn School of Medicine at Mount Sinai,Deep Self-Supervised Learning for Patient-Specific Anomaly Detection in Stereoelectroencephalography [S21962],116,"Anomaly detection,Dynamic range compression,Real-time computing,Real-time polymerase chain reaction",EEG,"medical,nonparametric,performance",Healthcare & Life Sciences
NVIDIA GTC 2020,Friedrich Miescher Laboratory of the Max Planck Society,De Novo Protein Design of Epitope-Directed Inhibitors [s21348],134,"Father of surgery,Plasma protein binding,Therapeutic index",GPU,"molecule,guided,structure,effectively",Healthcare & Life Sciences
NVIDIA GTC 2020,Subtle Medical,Deploying FDA-Cleared TRT-Powered AI Radiology Products to Improve Quality and Productivity in Clinical Radiology [S22400],174,Center for Biomedical Imaging,"FDA,Subtle Medical,PET-CT,Subtle,Stanford University,the University of California at San Francisco,Hoag hospital,San Diego,NVIDIA DGX Station,NVIDIA,TRT,ROI","subtle,hospital,subtlemr,improve,efficiency,clinical,experience,university,nvidia,san,subtlepet,fdacleared",Healthcare & Life Sciences
NVIDIA GTC 2020,Princeton International School of Mathematics and Science,Distributed Deep Learning for Automatic Disease Detection Systems [P22078],82,"Deep learning,Machine learning,Medical specialty,On-board diagnostics",,"device,condition,infrastructure,using,deployed",Healthcare & Life Sciences
NVIDIA GTC 2020,Institut Pasteur,Empowering Virtual Reality and Machine Learning in the Hospital [S21472],88,Hospital information system,GPU,"medical,technology,define,provide",Healthcare & Life Sciences
NVIDIA GTC 2020,NVIDIA,Federated Learning for Medical Imaging: Collaborative AI without Sharing Patient Data [S21536],213,"Deep learning,Federated learning,Medical imaging,Medical record",,"challenge,institution,implementing",Healthcare & Life Sciences
NVIDIA GTC 2020,Weill Cornell Medicine,Fostering a Strong Ecosystem for AI in Medical Imaging [S22631],78,"Collaboration,Entrepreneurial leadership",,"possibility,create,payer,importantly",Healthcare & Life Sciences
