Conference,Inc,Title,Length,Keywords,Entity,Singleton,industry
NVIDIA GTC 2020,MPI-IS and University of Tabingen,3D Deep Learning in Function Space [s21764],141,"Comparison gallery of image scaling algorithms,Convolutional neural network,Deep learning,Nvidia",GPU,image,Higher Education / Research
NVIDIA GTC 2020,NVIDIA,Accelerated Computing Teaching Kit for University Educators: Introduction and Use Cases [S22414],175,IBM Power Systems,"Iowa State University,Iowa State,CAD,GPU","course,gpus,advanced,programming,application,university,performance,functionality",Higher Education / Research
NVIDIA GTC 2020,The Georgia Institute of Technology,Accelerated Data Science in the Classroom: Teaching Analytics and Machine Learning with RAPIDS [S22417],116,"Danielle Belgrave,Data science","the Georgia Institute of Technology,GPU,RAPIDS","graduate,analytics,teaching,course,using,student,rapid",Higher Education / Research
NVIDIA GTC 2020,NVIDIA,Accelerated Light-Transport Simulation using Neural Networks [S21852],87,Neural network,,"integration,storm,recently",Higher Education / Research
NVIDIA GTC 2020,Osaka University,Accelerating Large Seismic Simulation Code with PACC Framework [P21901],132,"AI accelerator,Extract, transform, load,Target (project)",,"compared,outofcore,however",Higher Education / Research
NVIDIA GTC 2020,University of Washington,ALFRED: Action Learning From Realistic Environments and Directives [P22310],142,Natural language,ALFRED,"alfred,sequence,directive,benchmark,learning,mapping",Higher Education / Research
NVIDIA GTC 2020,San Diego,Analytic Spherical Harmonic Gradients for Real-Time Rendering with Many Polygonal Area Lights [P22297],132,"Analytical Engine,Closed-form expression,Conjugate gradient method,Spatial gradient,Spherical harmonics","SH,PRT","reduce,enables",Higher Education / Research
NVIDIA GTC 2020,Prague,An Improved Immersed Boundary-Lattice Boltzmann Method for Incompressible Fluid-Flow Simulations on GPU [P21931],98,"Affect theory,Archimedes' principle,Immersed boundary method,Lattice Boltzmann methods,Numerical stability",Boltzmann,"introduce,performance,fluidsolid",Higher Education / Research
NVIDIA GTC 2020,DFKI,A Reinforcement Learning Approach for Sequential Spatial Transformer Networks [s21941],40,"Capsule neural network,Computer vision,High-voltage transformer fire barriers,Reinforcement learning,Statistical classification",,"classification,describe,combine,improve,noise",Higher Education / Research
NVIDIA GTC 2020,Aalto University School of Science,Astaroth: an API for Three-dimensional Stencil Computations on GPUs [S21332],120,,"Astaroth,C99,3D","computational,large,cache,pipeline",Higher Education / Research
NVIDIA GTC 2020,University of Illinois Urbana-Champaign,Benanza: Automatic Benchmark Generation to Compute âLower-boundâ Latency and Inform Optimizations of Deep Learning Models on GPUs [P21858],68,"Ideal machine,New Source Performance Standards,Sequence profiling tool","Benanza,DL,GPUs",inefficiency,Higher Education / Research
NVIDIA GTC 2020,NVIDIA,Bringing AI to the Classroom: NVIDIA's Deep Learning Teaching Kit [S22357],110,Machine learning,"GPU,AGH University of Science and Technology,Krakow,New York University","nvidia,professor,mathematics,preparing,material,soaring,feeding",Higher Education / Research
NVIDIA GTC 2020,NVIDIA,Building MSO GPU-Powered Infrastructure for AI Instruction and Research [s21423],78,"Differentiated instruction,Supercomputer","Milwaukee School of Engineering,NVIDIA,AI,HPC,GPU",engineering,Higher Education / Research
NVIDIA GTC 2020,Universidad Rey Juan Carlos,CapsNet-Lite: A Lightweight and High Performance CapsNet Architecture [P21854],93,Capsule neural network,"CapsNet,CapsNet-Lite","accuracy,position,image,combined,combine,routing",Higher Education / Research
NVIDIA GTC 2020,CETYS Universidad,Capsule Networks for 3D Pose Estimation in Computer Graphics [P21924],77,"3D pose estimation,3D reconstruction,Augmented reality,Biomedical engineering,Engineering",VR/AR,,Higher Education / Research
NVIDIA GTC 2020,University of South Florida,CheetahDB: A System for High-Throughput Database Processing on GPUs [P22073],127,"Fourth Industrial Revolution,List of Nvidia graphics processing units,Research","GPU,DBMS,HPC,NSF,the University of South Florida,Cheetah Data Systems","dbms,performance,inmemory,challenge,software,cheetahdb",Higher Education / Research
NVIDIA GTC 2020,Berkeley,Data Mining Pipeline for Predictive Synthesis of Advanced Materials [P22007],125,"Inorganic compound,Material,Materials science",,"mining,dataset,accelerated,highthroughput",Higher Education / Research
NVIDIA GTC 2020,Graduate School of Pharmaceutical Sciences,Decoding Texture Information from Rat Somatosensory Cortical Neurons Using CNN [P21855],139,Neural network,CNN,"neuron,stimulus,activity,lfps,feature,decoded,recorded,rat,decoding,somatosensory,cortex,cnn,neocortex",Higher Education / Research
NVIDIA GTC 2020,Worcester Polytechnic Institute,Deep Learning-Based Subcellular Phenotyping of Cell Edge Dynamics Reveals Fine-Grained Drug Responses [S21242],71,"Deep learning,Live cell imaging,P-glycoprotein",,"autoencoder,heterogeneity",Higher Education / Research
NVIDIA GTC 2020,Amazon Web Services,Dive into Deep Learning [T22537],134,"Deep learning,Perceptron","CNN,Python","material,theory,cnn,transforming",Higher Education / Research
