Conference,Inc,Title,Length,Keywords,Entity,Singleton,industry
NVIDIA GTC 2020,Red Hat,Accelerate ML Lifecycle with Containers Kubernetes and NVIDIA GPUs (Presented by Red Hat) [S22516],140,"Data science,Kubernetes,Systems Modeling Language","Jupyter Notebooks,Red Hat OpenShift","container,technology,easily,gpus,provide,capability,customer,example",Software / Cloud Services
NVIDIA GTC 2020,IBM,AWDF: An Adaptive Weighted Deep Fusion Architecture for Multi-Modality Learning [P21985],133,"Cold fusion,Deep learning,Multimodal learning","CareerCon,IEEE Big Data","awdf,propose,attention,dealing",Software / Cloud Services
NVIDIA GTC 2020,Chinese Academy of Sciences,Container-Based Artificial Intelligence Applications Deployment Platform for GPU High Performance Computing Clusters [P21902],128,"Applications of artificial intelligence,Platform as a service,Qlik,Superuser,Virtual machine,Windows HPC Server 2008","HPC,GPU,PCI","gpu,implemented,solve",Software / Cloud Services
NVIDIA GTC 2020,NVIDIA,CTR Inference Optimization on GPU [s21416],144,"CTR,Dot-com bubble,Model organism,Recommender system,Ruf CTR,Statistical inference",,"computing,issue,advertising",Software / Cloud Services
NVIDIA GTC 2020,Microsoft,Deploying your Models to GPU with ONNX Runtime for Inferencing in Cloud and Edge Endpoints [s21379],172,Edge device,"GPU,ONNX Runtime,ONNX,AML Notebooks,Azure IoT Edge","gpu,execution,application,using,azure",Software / Cloud Services
NVIDIA GTC 2020,Microsoft,Edge Computing for Building Machine Learning Pipelines Using Azure Stack (Presented by Microsoft) [S22473],67,"Data localization,Data sovereignty,Jeffrey Snover,Machine learning",Microsoft,"edge,cloud,latency",Software / Cloud Services
NVIDIA GTC 2020,NVIDIA,Faster Transformer [s21417],92,"Key (engineering),Principal component analysis,Transformer (machine learning model)","BERT,XLNet,CUTLASS","inference,bert,xlnet",Software / Cloud Services
NVIDIA GTC 2020,Amazon,From Hours to Minutes: The Journey of Optimizing Mask-RCNN and BERT Using MXNet [S22483],46,"Deep learning,System resource","BERT,MXNet,Amazon Web Services",,Software / Cloud Services
NVIDIA GTC 2020,Google,Google Cloud AutoML Video and Edge Deployment [S22022],103,"Google Cloud Platform,List of Nvidia graphics processing units","Google,Video Classification,Tensorflow,Jetson",,Software / Cloud Services
NVIDIA GTC 2020,IBM,GradZip: Gradient Compression Using Alternating Matrix Factorization for Large-scale Deep Learning [P22289],84,"Compression stockings,Deep learning",GradZip,"matrixfactorization,dense,thinking,gradzip",Software / Cloud Services
NVIDIA GTC 2020,Amazon Web Services,Improve ML Training Performance with Amazon SageMaker Debugger (Presented by Amazon Web Services) [S22493],104,"JTAG,Learning,ML,ML.NET,Parameter","Amazon,GPU","analyze,developer,challenging,ensure",Software / Cloud Services
NVIDIA GTC 2020,IBM,Is the Label Trustworthy? Training Better Deep-Learning Models via Uncertainty Mining Net [P22055],134,"Deep learning,Statistical classification","Uncertainty Mining Net,UMN","umn,generative,uncertainty",Software / Cloud Services
NVIDIA GTC 2020,IBM,Manifold Regularization For Time Series Embedding [P22063],118,"A-ha,Data visualization,Exact sequence",VAE,"vae,used,representation,challenge,parse,identify",Software / Cloud Services
NVIDIA GTC 2020,Alibaba Group,Performance Optimization on Quantized Deep-Learning Models [S22484],118,"Quantization (signal processing),Quantum entanglement,Statistical inference","GEMM,GPU","proposed,technique,transformation,im2col",Software / Cloud Services
NVIDIA GTC 2020,NVIDIA,PyTorch from Research to Production [S21928],83,"Convolutional neural network,Neural network,PyTorch",PyTorch,inference,Software / Cloud Services
NVIDIA GTC 2020,National Tsing Hua University,qCUDA-ARM: Virtualization for Embedded GPU Architectures [P21851],113,"Edge computing,Internet of things,Resource management (computing),System resource","GPU,CUDA","qcudaarm,application,virtualization,performance,native,emergence,changing,centralized",Software / Cloud Services
NVIDIA GTC 2020,Amazon Web Services,Recommendation Systems Using Distributed Graph Convolutional Networks (GCN) on GPUs (Presented by Amazon Web Services) [S22491],83,"Deep learning,Ha-ha,Non-Euclidean geometry","Graph Convolutional Networks,Deep Graph Library,Apache MXNet","simple,image,sequence,timeseries,language,information",Software / Cloud Services
NVIDIA GTC 2020,Principal Software Engineer Manager,SPTAG and GPU Acceleration for Approximate Nearest Neighborhood Search [s21561],122,"Nearest neighbor search,PageRank,Space partitioning","ANN,algorithm,RAPIDS,FAISS,GPU,SPTAG","gpu,hashing,accelerated,gpus,essential,many",Software / Cloud Services
NVIDIA GTC 2020,Microsoft,Visual Anomaly Detection using NVIDIA DeepStream with Azure IoT [S22675],211,"Internet of things,OpenAI,Streaming media","NVIDIA,IoT Central,Custom Vision","solution,device,realtime,operate,using,deepstream,azure,pipeline,nvidia,vision",Software / Cloud Services
NVIDIA GTC 2020,NVIDIA,Wide and Deep Recommender Inference on GPU [S21559],137,Deep learning,"Tensorflow,NVIDIA,GPU","inference,tensorrt,recommendation,machine,trained,tensorflow,engine,leverage,nvidia",Software / Cloud Services
NVIDIA GTC 2020,OmniSci,Accelerated Analytics Fit for Purpose: Scaling Out and Up (Presented by OmniSci) [S22556],110,Visualization (graphics),"OmniSci,GPU","every,analytics,laptop,computation",Software / Cloud Services
NVIDIA GTC 2020,NVIDIA,Accelerating AI Workflows with NGC [S22421],121,Artificial intelligence,"NVIDIA,NGC","sdks,looking",Software / Cloud Services
NVIDIA GTC 2020,Lawrence Berkeley National Laboratory,Accelerating Applications for the NERSC Perlmutter Supercomputer Using OpenMP [s21387],122,List of Nvidia graphics processing units,"Perlmutter,NVIDIA,HPC,Fortran,GPU,NESAP,NERSC","openmp,application,perlmutter,nvidias,compiler,feature,included,others,nersc,early,nerscnvidia",Software / Cloud Services
NVIDIA GTC 2020,Barcelona Supercomputing Center,Accelerating Chemistry Modules in Atmospheric Models Using GPUs [S22005],139,"Atmospheric model,CLaMS,Chemical process,The Final Solution (novel)","The Multiscale Online Nonhydrostatic AtmospheRe CHemistry model,the Barcelona Supercomputing Center,EBI,KPP","used,gas,multiple,camp,explore",Software / Cloud Services
NVIDIA GTC 2020,Lablup Inc.,Accelerating Hyperparameter Tuning with Container-Level GPU Virtualization [S21463],96,"Hyperparameter optimization,Pareto efficiency,True Detective","GPU,TGS,ENAS,NNI,Backend","gpus,gpu",Software / Cloud Services
NVIDIA GTC 2020,Computermind Corp.,Acceleration of Test Data Quality Assurance Technology Using Neuron Coverage [P21809],104,"CP System II,Mirror stage,Procedural generation","DL,DeepXplore","deepxplore,coverage,quality,processing,neuron",Software / Cloud Services
NVIDIA GTC 2020,TempoQuest Inc.,AceCAST GPU-Enabled Weather Research and Forecasting Model Development and Applications [P22064],148,"Benefit performance,Meteorology,Weather Research and Forecasting Model","The Weather Research,WRF,HPC,TQI,GPU,AWS","operational,gpus,solution",Software / Cloud Services
NVIDIA GTC 2020,NVIDIA,Advanced Scientific Visualization with NVIDIA Omniverse [S21973],216,"Aphantasia,Flow visualization,Scientific visualization","NVIDIA,3D,PhysX. Further","omniverse,scientist,content",Software / Cloud Services
NVIDIA GTC 2020,VividQ,Advances in Real-Time 3D Hologram Generation [S21248],113,,"VividQ,3D,GPU","holographic,hologram,using,allows,gpus,facilitates,extraction",Software / Cloud Services
NVIDIA GTC 2020,NVIDIA,A Faster Radix Sort Implementation [S21572],75,"Direct memory access,GUID Partition Table,Memory operations per second",Gkey/s,"used,reduce",Software / Cloud Services
NVIDIA GTC 2020,NVIDIA,AIaaS: Scaling AI Infrastructure for the Enterprise from DGX-1 to SuperPOD [S21996],135,"Artificial intelligence,Oz the Great and Powerful","GPU,GUI,AIaaS,DGX-2","container,nvidia,getting,enterprise",Software / Cloud Services
NVIDIA GTC 2020,SF Techology,AI Argus: A Unique Insight Into Logistics [P21812],138,Artificial intelligence,"Xavier,China,SF,Operator,AI Argus","detection,xavier,china,package,damage,edge",Software / Cloud Services
NVIDIA GTC 2020,Red Hat,AI/ML with vGPU on Openstack or RHV Using Kubernetes [S22106],89,"Cloud gaming,Flexible electronics,Simultaneous multithreading","GPU,AI/ML,Red Hat Openstack Platform,SR-IOV","aiml,vgpu,sriov,workload",Software / Cloud Services
NVIDIA GTC 2020,NVIDIA,An Overview of GPU Recurrent Neural Network Performance [S21301],59,"Qualifications framework,Recurrent neural network,Scientific method","RNN,GPU","performance,advantage,disadvantage",Software / Cloud Services
NVIDIA GTC 2020,Poteha Labs,AutoFAQ: Automation of Customer Support for Most Common Questions [s21252],93,"Business value,Mach Loop,Stack Exchange","Python,NLP","language,automate,integrate,architecture",Software / Cloud Services
NVIDIA GTC 2020,Inc.,Building a Smart Language-Understanding System for Conversational AI with HuggingFace Transformers [S22647],114,"Natural language,Natural-language understanding,Trans-Anatolian gas pipeline","HuggingFace,NLU,BERT,PyTorch,TensorFlow","leverage,create,sentence,transformer,example",Software / Cloud Services
NVIDIA GTC 2020,NVIDIA,CLOUDXR: Streaming AR and VR [S22178],97,Extended reality,"OpenVR,XR","gpus,application",Software / Cloud Services
