Conference,Inc,Title,Length,Keywords,Entity,Singleton
Oracle 2020,Oracle,Oracle CEO Safra Catz at Oracle OpenWorld Europe,34,"Astrological aspect,Cloud computing,Emerging technologies,Financial technology",,"reshape,oracle"
Oracle 2020,Oracle,Oracle Autonomous Cloud - World Bee Project CIC,41,"Internet of things,Speciation",The World Bee Project,oracle
Oracle 2020,Oracle,A New Class of Cloud Infrastructure,23,"Analysis of algorithms,Complexity management,Data management,Emerging technologies,FAIR data,Reliability engineering,Software development process",,"eliminate,source,speed,learn,help"
Oracle 2020,Oracle,Oracle Cloud Drives Innovation and Real Change,32,"Cloud computing,Emerging technologies,Financial technology",,"reshape,interacting,automation,life,think,find"
Oracle 2020,Oracle,How to Turn Change into Opportunity,29,"Core business,Microsoft Azure,Oracle Cloud,Samsung SDS,User interface","blockchain,UI",explore
Oracle 2020,Oracle,Outpacing Change in a Disrupted WorldÂ‚ The New Core of Business,32,"Abcam,Artificial intelligence,Machine learning,Technology,User interface","Oracle,Microsoft","oracle,learn,benefit,support"
Oracle 2020,Oracle,Oracle Cloud: A Path and Platform,55,"Buckminster Fuller,Customer relationship management,Real Change,Safe Swiss Cloud",,"assurance,innovation,solve,world"
Oracle 2020,Oracl,Autonomous Data Management,29,"Database,Master data,Oracle Database,Service integration and management",,"beginning,reshape,opportunity"
Oracle 2020,Oracle,How To Turn Change Into Opportunity With Oracle Cloud Apps,39,"Core business,Microsoft Azure,Samsung SDS,Supply chain,User interface","Database Development,Data Management",discover
Oracle 2020,Oracle,Outpacing Change in a Disrupted World The New Core of Business,26,"Empresas Públicas de Medellín,Intel Core",blockchain,"reshape,finance,anticipating"
Oracle 2020,Oracle,Unlock Endless Possibilities with Oracle Cloud,35,"Garbage Pail Kids,Machine learning,Oracle Cloud,VMware Infrastructure","Oracle,ERP,EPM","technology,reshaping,reinvigorating,finance,business"
Oracle 2020,Oracle,Cloud Platform Middleware Strategy and Roadmap,28,"Google Cloud Platform,Oracle Cloud,Oracle Data Integrator,Oracle Enterprise Resource Planning Cloud,SAP Cloud Platform",,"explore,automation,powering,important"
Oracle 2020,Oracle,A New Class of Cloud Infrastructure,18,Oracle Applications,Oracle,"strategy,customer,digital"
Oracle 2020,Oracle,Solution Keynote: Strategy and Roadmap for Cloud and On-Premise,24,"Online transaction processing,Oracle Database",Oracle,"business,secure,cloud,scale,help,data,find"
Oracle 2020,Oracle,Strategy and Roadmap for Cloud and On-Premise,24,"Free and open-source software,Object storage,Open source,Software versioning",,"transformed,provide,analytics,world,learn"
