,Keyword,Frequency
0,Self-driving car,10
1,Ray tracing (graphics),3
2,Neural network,3
3,Generative adversarial network,2
4,Nvidia RTX,2
5,Global illumination,2
6,Deep learning,2
7,Vehicular automation,2
8,Machine learning,2
9,Nvidia Drive,2
10,Deeplearning4j,2
11,Newton's method,1
12,Turing machine,1
13,Systolic array,1
14,Architectural Design,1
15,Daylight saving time,1
16,Kosrae,1
17,Workflow,1
18,Apache Spark,1
19,CT scan,1
20,Iterative reconstruction,1
21,Healthcare industry,1
22,Patient,1
23,Project 23900 amphibious assault ship,1
24,Pythagoras ABM,1
25,Video card,1
26,GeForce 30 series,1
27,Turing (microarchitecture),1
28,Graphics processing unit,1
29,HTTP 404,1
30,Quantum computing,1
31,Electric power transmission,1
32,Mathematical optimization,1
33,Physiological cross-sectional area,1
34,Transmission tower,1
35,List of Bollywood films of 2019,1
36,New Payments Platform,1
37,Warez scene,1
38,Ambient occlusion,1
39,Real-time computer graphics,1
40,3D reconstruction,1
41,Scientific method,1
42,Deep learning super sampling,1
43,Matrix multiplication,1
44,Sparse matrix,1
45,Tool,1
46,Pilot experiment,1
47,Virtual reality,1
48,Traffic collision,1
49,World Health Organization,1
50,Perception,1
51,Unmanned aerial vehicle,1
52,Visual perception,1
53,Autodesk,1
54,Virtual prototyping,1
55,Evolution,1
56,Safety data sheet,1
57,Emerging technologies,1
58,Ford Motor Company,1
59,K-means clustering,1
60,Lion (2016 film),1
61,Regulation,1
62,Kubeflow,1
63,Simulation,1
64,Simulation hypothesis,1
65,Screen tearing,1
66,Shooting of Philando Castile,1
67,Data science,1
68,PCI configuration space,1
69,Rotational spectroscopy,1
70,List of computer simulation software,1
71,Turbulence,1
72,Image segmentation,1
73,Digital twin,1
74,Grid reference,1
75,Network virtualization,1
76,AI accelerator,1
77,DLA,1
78,Nvidia,1
79,Self-organizing network,1
80,AMOLED,1
81,Rendering (computer graphics),1
82,Data management,1
83,MetropolisHastings algorithm,1
84,OpenShift,1
85,Computational linguistics,1
86,Plain,1
87,Cell therapy,1
88,Dick Van Dyke filmography,1
89,Sergei Lemberg,1
90,Temporal information retrieval,1
91,Gaussian surface,1
92,Induction hardening,1
93,Nondestructive testing,1
94,CFD in buildings,1
95,Computational fluid dynamics,1
96,Highly accelerated life test,1
97,List of AMD accelerated processing units,1
98,Hardware-in-the-loop simulation,1
99,Imaging radar,1
100,Emulation for Logic Validation,1
