,Keyword,Frequency
0,Medical imaging,8
1,Machine learning,6
2,Deep learning,6
3,Neural network,3
4,Data science,2
5,Artificial intelligence,2
6,Federated learning,2
7,Technology,2
8,Drug discovery,2
9,List of Nvidia graphics processing units,2
10,Laboratory information management system,1
11,Regenerative medicine,1
12,Neuroimaging,1
13,Antonie van Leeuwenhoek,1
14,List of Billboard Hot 100 chart achievements and milestones,1
15,Computational chemistry,1
16,LASIK,1
17,Tomography,1
18,Video card,1
19,Wavefront .obj file,1
20,Zernike polynomials,1
21,Brain damage,1
22,DNN,1
23,Image segmentation,1
24,SqueezeNet,1
25,Natural language processing,1
26,Public health,1
27,A-ha,1
28,Color image pipeline,1
29,Digital image processing,1
30,Cell biology,1
31,Scientific modelling,1
32,Comparison of web frameworks,1
33,Building block,1
34,Radiology,1
35,Workflow,1
36,List of NFC-enabled mobile devices,1
37,Underwater diving,1
38,Endurance training,1
39,Rote learning,1
40,Graphics Core Next,1
41,IOS SDK,1
42,OpenAI,1
43,Oracle SQL Developer,1
44,Autonomous system (Internet),1
45,General-purpose computing on graphics processing units,1
46,Angiography,1
47,Coronary arteries,1
48,Coronary artery disease,1
49,Annotation,1
50,Data visualization,1
51,Live cell imaging,1
52,Lymphoma,1
53,Stem cell,1
54,Caller ID,1
55,Anomaly detection,1
56,Dynamic range compression,1
57,Real-time computing,1
58,Real-time polymerase chain reaction,1
59,Father of surgery,1
60,Plasma protein binding,1
61,Therapeutic index,1
62,Center for Biomedical Imaging,1
63,Medical specialty,1
64,On-board diagnostics,1
65,Hospital information system,1
66,Medical record,1
67,Collaboration,1
68,Entrepreneurial leadership,1
69,Blood cell,1
70,Leukemia,1
71,Random early detection,1
72,Microorganism,1
73,Phase-contrast microscopy,1
74,Engineering design process,1
75,Isogeometric analysis,1
76,Supply-chain-management software,1
77,Dig Deep (album),1
78,Microsoft and open source,1
79,Scanning transmission electron microscopy,1
80,AI accelerator,1
81,Patient-reported outcome,1
82,Treatment decision support,1
83,Accuracy and precision,1
84,Chinese classifier,1
85,Classification of demons,1
86,Data augmentation,1
87,Histopathology,1
88,Synthetic media,1
89,Computer vision,1
90,Convolutional neural network,1
91,Colectomy,1
92,Immunohistochemistry,1
93,Protein expression,1
94,Spatial analysis,1
95,Clinic,1
96,Clinical case definition,1
97,Critical theory,1
98,Cryptographic key types,1
99,Progress in artificial intelligence,1
100,Feature (computer vision),1
101,Generative adversarial network,1
102,Prostate,1
103,Old and New Light,1
104,Disability and Rehabilitation: Assistive Technology,1
105,Inertial measurement unit,1
106,Motion capture,1
107,Sensor,1
108,Basic research,1
109,Branches of science,1
110,GeForce 30 series,1
111,List of life sciences,1
112,Ray-tracing hardware,1
113,Parkinson's disease,1
114,Magnetic resonance imaging,1
115,Tomographic reconstruction,1
116,BERT (language model),1
117,Neurology,1
118,Stanford prison experiment,1
119,Verona van de Leur,1
120,Anatomical terminology,1
121,Pelvic fracture,1
122,PhysX,1
123,Autodesk 3ds Max,1
124,Media Molecule,1
125,Molecule,1
126,Organic chemistry,1
