,Keyword,Frequency
0,Deep learning,4
1,Neural network,4
2,Supercomputer,3
3,Lattice Boltzmann methods,2
4,Capsule neural network,2
5,Graphics processing unit,2
6,Comparison gallery of image scaling algorithms,1
7,Convolutional neural network,1
8,Nvidia,1
9,IBM Power Systems,1
10,Danielle Belgrave,1
11,Data science,1
12,AI accelerator,1
13,Extract,1
14, transform,1
15, load,1
16,Target (project),1
17,Natural language,1
18,Analytical Engine,1
19,Closed-form expression,1
20,Conjugate gradient method,1
21,Spatial gradient,1
22,Spherical harmonics,1
23,Affect theory,1
24,Archimedes' principle,1
25,Immersed boundary method,1
26,Numerical stability,1
27,Computer vision,1
28,High-voltage transformer fire barriers,1
29,Reinforcement learning,1
30,Statistical classification,1
31,Ideal machine,1
32,New Source Performance Standards,1
33,Sequence profiling tool,1
34,Machine learning,1
35,Differentiated instruction,1
36,3D pose estimation,1
37,3D reconstruction,1
38,Augmented reality,1
39,Biomedical engineering,1
40,Engineering,1
41,Fourth Industrial Revolution,1
42,List of Nvidia graphics processing units,1
43,Research,1
44,Inorganic compound,1
45,Material,1
46,Materials science,1
47,Live cell imaging,1
48,P-glycoprotein,1
49,Perceptron,1
50,Computer simulation,1
51,N-(p-Amylcinnamoyl)anthranilic acid,1
52,Pulseless electrical activity,1
53,Constructed language,1
54,Capability-based addressing,1
55,Semantic memory,1
56,MD5,1
57,Bioinformatics workflow management system,1
58,DirectX Video Acceleration,1
59,List of RNA-Seq bioinformatics tools,1
60,Bfloat16 floating-point format,1
61,CUDA,1
62,Eigenvalues and eigenvectors,1
63,Holism,1
64,Supercomputing in Europe,1
65,Web Ontology Language,1
66,Molecular dynamics,1
67,Sky Nature,1
68,Computer performance,1
69,PCI Express,1
70,Shanghai Jiao Tong University,1
71,Linear algebra,1
72,Matrix multiplication algorithm,1
73,Artificial turf,1
74,Implementation,1
75,Mobile robot,1
76,Nvidia Jetson,1
77,Pathfinding,1
78,Human impact on the environment,1
79,Binary system,1
80,Mass transfer,1
81,American Association for the Advancement of Science,1
82,Multinomial distribution,1
83,Database,1
84,Database index,1
85,Wastewater surveillance,1
86,Dynamics,1
87,Boss Doctor Rhythm DR-110,1
88,Computational model,1
89,Protein structure,1
90,Systems engineering,1
91,Cognitive skill,1
92,Occipital lobe,1
93,Perception,1
94,Robot,1
95,Robotics,1
96,Radio navigation,1
97,Scientific method,1
98,3D reconstruction from multiple images,1
99,Component video,1
100,Cardiac electrophysiology,1
101,General-purpose computing on graphics processing units,1
102,Scheduling (computing),1
103,Cloud gaming,1
