conference,title,description,company
Big Data 2019,A Practical-ish Introduction to Data Science,"Data Science has been described as the sexiest job of the 21st Century. But what is Data Science? And what has Machine Learning got to do with all of this?
In this talk, Mark will share insights and knowledge that he has gained from building up a Data Science department from scratch. 1. He’ll begin by defining what Data Science is, how it is related to Machine Learning and share some tips for introducing Data Science to your organisation.
2. Next up we’ll run through some commonly used Machine Learning algorithms used by Data Scientists, along with examples for use cases where these algorithms can be applied.
3. The final third of the talk will be a demonstration of how you can quickly get started with Data Science and Machine Learning using Python and the Open Source scikit-learn Library.","Bouvet Norge AS, Norway"
Big Data 2019,You can AI like an Expert,"The talk will discuss Wolfram's progress towards an entirely automated workflow for machine learning that makes it possible for anyone who can code to make use of AI methods.

The talk will assume no knowledge of machine learning and will introduce key concepts before showing how to use the Wolfram Language to create advanced predictors from  Examples will be shown from computer vision such as content recognition, scene recogniton and segmenting images into components relevant for autonomous driving applications. The speaker will attempt to train a predictor using live camera images to be able to recognize the hand gestures of the game Rock, Paper, Scissors.scratch, in seconds. Use will be made of the Wolfram Language functions Predict and Classify which automate the process of data encoding, feature extraction, method selection, training, end decoding. The net result is a single function that produces a ready-to-use classifier or predictor, directly from raw data. Examples will be shown from computer vision such as content recognition, scene recogniton and segmenting images into components relevant for autonomous driving applications. The speaker will attempt to train a predictor using live camera images to be able to recognize the hand gestures of the game Rock, Paper, Scissors. The talk will explain how symbolic computation is the they key ingredient needed to make such automation possible. Symbolic computation provides a unified representation of structured data such as images, sounds, documents, databases, networks as well as the machine learning models themselves. The talk will go on to show that symbolic representation also helps in automating the transition from research experiments to the production deployment of AI services.","Wolfram Research Europe Ltd., UK"
Big Data 2019,Deep Learning for Lazy People... Neural Architecture Search with Automated Machine Learning,"Deep Learning models are great, but choosing the right architecture is not easy. Many times, the easiest way of getting the best architecture is just by trying.
It would be nice to have a clairvoyant that is able to tell us the best architecture, right? We cannot have a clairvoyant but we have tools, like Automated Machine Learning, that are able to find the best architectures just with a few lines of code.This talk will cover the use of Automated Machine Learning (AML) for Deep Learning Architectures, but we will also see other uses of AML.","RavenPack, Spain
"
Big Data 2019,Predicting the Moment of Birth using Sensor Data in Dairy Cows,"Stillbirth, defined as calves that die during unobserved birth is often seen as an indicator of lowered animal welfare in dairy cows. Sensors have been proposed as a tool to support dairy farmers but accurate calving prediction models are often lacking. In this session, a machine learning data pipeline will be described using the spark ML framework. Heavy lifting and feature preparation for sensor data from 1331 cows on 8 herds from 21 days before until the day of calving was performed using sliding windows and time series analysis. In total a set of 100+ features was used in a random forest classification model trained and tested using different cross validation approaches. These different approaches were applied to avoid overfitting to specific cow and herd effects, assuring robust industry applicable models. The data pipeline created a ML model to predict the exact day of calving in dairy cows with an accuracy of 95%, offering a method to diminish unobserved calvings and stillbirth in dairy cows.","Utrecht University, The Netherlands"
Big Data 2019,Knowledge and AI Powering Microsoft & Office 365 Products,"Knowledge, Data and AI have been reshaping the way we live and work for the past few years, and the fact is that this is just the beginning.
Everyone has been using AI-and-knowledge-infused products and services every day, sometimes in ways that may not seem obvious. One of David’s goals in this session will be to explain how these non-obvious scenarios are being powered with Knowledge and AI (and how/why, through improvements in technology, these will just get better).
He wants the audience to understand how intelligent scenarios work by taking them through a journey of understanding Knowledge Graphs (including how knowledge is ingested and/or mined), showing real scenarios being powered by these, and explaining how this technology can/will be used in the enterprise world in products like Office 365 and Microsoft Search. He will explain how the technologies are improving and how this will cause the experiences to improve as well in the next few years.
As part of the session, David will define Artificial Intelligence and will show, with many examples, how this works. He will explain how AI will help people and enterprises and will explain why now is the perfect time for AI. He will show data and numbers which show how big data and AI are (and will become even more) crucial to organizations.
David will explain the difference between Knowledge & AI, and how both are required to power truly intelligent scenarios.
He will talk about key ingredients that will adequately position organizations to be able to power AI/Knowledge scenarios at scale, and he will present Microsoft’s AI Portfolio.
Since Davis currently works on Office 365 and Microsoft Search products, he will also show the latest in these areas.
Finally, for developers in the audience, David will go through Microsoft Cognitive Services that can allow them to infuse AI/Knowledge into their own apps/products.","Microsoft, USA"
Big Data 2019,Practical Data Science - How to Track Your Development Process with DVC,"Datacentric applications utilising machine learning models have evolved into common solutions. Many projects however still suffer from a lack of good patterns and practices, when developing such powerful technologies. Digging down into the nitty-gritty details, we explain how you can use DVC to version all parts of your projects: From the dataset, over gluecode up to the model itself. But wait, there’s more! We show you code that covers the full development cycle, including experiments and reproducability, as well as release and deployment of your model to machines in the wild.","codecentric AG, Germany"
Big Data 2019,(Un)ethical Artificial Intelligence: How to Keep the AI Fair for Everyone,"This presentation highlights the current ethical problems that we face while building artificial intelligence solutions. The artificial intelligence systems based on machine learning algorithms are entering our products at an increasing rate. Unfortunately, keeping these systems fair is hard and a lot of hidden biases enter the models, even if the developers had the best intentions. We will investigate some of the failures of the AI systems and explore ways how to keep them fair for everyone.","Vinted, Lithuania"
Big Data 2019,"Secure IoT Command, Control, and Exfil with Apache MiNiFi","Apache MiNiFi is a lightweight application which can be deployed on hardware orders of magnitude smaller and less powerful than the existing standard data collection platforms. Not only can this data be prioritized and have some initial analysis performed at the edge, it can be encrypted and secured immediately. Local governance and regulatory policies can be applied across geopolitical boundaries to conform with legal requirements. And all of this configuration can be done from central command & control using an existing Apache NiFi instance with the trusted and stable UI data flow managers already love. Recent events (Mirai, Dyn DDOS, etc.) have demonstrated the power of distributed botnets consisting of unsecured IoT devices and reinforced the need to securely command and control IoT devices while also ensuring data is only made accessible to authorized parties.","Cloudera, USA"
Big Data 2019,Big Data Legal Issues. GDPR and Contracts,"In a recent project, iunera sought to determine if it is possible to predict crypto currency exchange rates by utilizing social data from Twitter. Tim will talk about their experiences and describe how they leveraged online learning in conjunction with social data to determine if they are able to predict future currency exchange rates. He’ll point out the general architecture and describe the most interesting findings.
The audience can learn from Tim’s experiences and pitfalls. The new possibilities that open up with more and more Kappa architectures in enterprises leverage new possibilities for real online learning. Therefore, the aspiration is to bring this field in general forward, by sharing insights.","Legal IT Group, Ukraine"
Big Data 2019,"Predicting Cryptocurrency Exchange Rates with Stream Processing, Social Data and Online Learning","In a recent project, iunera sought to determine if it is possible to predict crypto currency exchange rates by utilizing social data from Twitter. Tim will talk about their experiences and describe how they leveraged online learning in conjunction with social data to determine if they are able to predict future currency exchange rates.","iunera GmbH & Co. KG, Germany"
