conference,title,description,company
Digital Work 2020,Keynote Address: The CX-EX Connection (*All Times EDT),"In this keynote address, MIT research scientist Kristine Dery shares the findings from her research on the dynamic between technology and the way that people work, including the design and management of the workplace to understand how organizations use digital capabilities internally to create more effective ways of working, and the impact of new ways of engaging with talent in the digital era.",MIT Sloan School of Management
Digital Work 2020,Case Study: Building a Future Ready Workforce with VMware (*All Times EDT),"As organizations are moving from supporting remote work as an afterthought to becoming a true anywhere organization, employee experience is paramount to make that shift. Learn how Dell Technologies was able to adopt a digital workspace platform to deliver the right experiences to their distributed workforce to make employees successful across their lifecycle at an organization.","Dell Technologies, Vmware"
Digital Work 2020,Effectively Embedding User Researchers and Designers on Agile Teams (*All Times EDT),"The basic tenets of Agile are clear...that is, until teams attempt to seamlessly integrate design practices, processes, & approaches. Philosophical & logistical conflicts (e.g., the role that designers play, the timing of research & design activities) crop up almost routinely. I'll describe how user researchers, user experience designers, and visual designers can effectively embed on Agile teams and collaborate with developers to deliver optimal user experiences. I lay out an ideal project flow from building empathy for our users and their needs through delivery & refinement of solutions that optimally fulfill those needs. The session will include discussion of lessons learned as well as common challenges and how we can address them. 1. Understand the role that user research plays in defining and prioritizing a team's work.
2. Overcome key challenges that many teams face when attempting to integrate design and Agile.
3. Enable effective, successful team collaboration and deliver outcomes with strong user experiences.",IBM
Digital Work 2020,Harnessing AI in the Next-Gen Digital Workplace (*All Times EDT),"There is still a huge amount of confusion, hype and expectation surrounding Artificial Intelligence (AI) and Machine Learning (ML). Author and Consultant Katie King will share the evidence and insights drawn from her deeply researched book and her role on the UK All-Party Parliamentary Group (APPG) taskforce looking into adoption of AI in business. During this pragmatic, enlightening session, Katie will share real-world examples of how AI is impacting HR, focusing on culture, internal processes and operations, and how AI alters the nature of work, and how best to structure an organisation accordingly. With case studies drawn from multiple industry sectors and geographies, Katie will reveal how AI and wider collaboration tools can be deployed to improve employee productivity. She will also provide invaluable insights on both successes and failures, as well as practical implementation strategies. Katie will shed light on some of the major issues including the future of jobs, privacy, ethics, the skills gap and more. Gain actionable knowledge and insights on how AI is impacting HR, with techniques and tools to assist with structure, culture, team building and much more
Access Katie King's Scorecard for Success - a pragmatic, workable plan to consider the merits of AI and its real world applicability in a next-gen digital workplace
Become a disruptor and run a future-proofed productive digital workplace",AI in Business
Digital Work 2020,Moving to Microservices: Building an Integrated Digital Experience (*All Times EDT),"Follow the journey of Wells Fargo's move from platform dependency to microservices efficiencies from Digital Workplace VP, Christy Punch. Gain an inside look at the model built by this financial services giant to integrate multiple systems and applications into a seamless digital experience.",Wells Fargo
Digital Work 2020,Leaning Forward on the Employee Journey at Facebook (*All Times EDT),"Facebook recently committed to be the most forward-leaning company on remote work and to do this in a way that is measured, thoughtful, and responsible. Part of this shift will include redesigning and remodeling employee journeys, analytics and practices to cater to an increasingly remote workforce. Join Janis Avila, Director Employee Experience at Facebook and Sameer Chowdhri, Global Head HR Solutions at Workplace from Facebook as they deep dive into the thinking behind building and optimizing for employee experience in our new working normal.",Facebook
Digital Work 2020,Selecting the Right Tech for Your Intranet: A Practical Approach To Getting It Right (*All Times EDT),"Few tools impact every aspect of the employee experience like an intranet. When done right, it can transform an organization's culture and work style. When done wrong, it could take years -- and lots of resources -- to recover from such a high-visibility mishap. Session participants will hear from Ideal State, Cystic Fibrosis Foundation’s (CFF) former intranet project manager, and intranet software provider Beezy about the carefully crafted process CFF used to select and implement the right intranet technology for its 700+ employees. How to select the right intranet technology and provider?
Best practices for creating a great employee experience with your intranet
Get tips on how to manage cultural shifts when implementing a new intranet",Ideal State
Digital Work 2020,What's Hot: Trends in Productivity and Experience in the Intelligent Digital Workplace (*All Times EDT),"Today's workplace, even with the mid-pandemic impact we have been through, is still moving at an exceptional pace, and employees are often left to fend for themselves.  Today's digital workplace experience leaders need to keep ahead of the market to ensure their organizations can not only survive but also prepare for the future.  This session will cover important market trends that were identified in an SAP-sponsored market research project with IDC into the future of work and the intelligent digital workplace. What causes negative impacts on work productivity and how to overcome them
Market trends and drivers impacting work transformation initiatives
Key business challenges in work transformation",SAP
Digital Work 2020,[Roundtable Discussion] Developing a Future Ready Workforce (*All Times EDT),"Join an exclusive group of your peers for an open and interactive conversation around where you are in the learning curve with regard to COVID-19 and remote work, what has been the most challenging part of IT during this crisis, the relationship between HR and IT and what do you see as the biggest workplace challenges for 2021.",SMG / CMSWire
Digital Work 2020,Moving Faster:  Ramping Up Internal Communications for Speed and Growth at Hootsuite (*All Times EDT),"Hootsuite has enjoyed rapid growth since 2008, expanding across 15 offices in 11 countries.  This speed of growth led to new challenges around information sharing and retrieval, and internal communications struggled to keep pace. To succeed Hootsuite needed to centralize information sharing and announcements across its entire team. The organization also wanted to foster a culture of openness and accountability around accessing that information, making it easier and sustainable for every employee to find what they needed as the company grew. Grace Carter, Director of Internal Communications at Hootsuite, will share how the team overcame these obstacles to grow a connected and informed global team.",Hootsuite
Digital Work 2020,Always Day One: How the Tech Titans Plan to Stay on Top Forever (*All Times EDT),"Instead of slowing down and ossifying like many big companies, Amazon, Google, Facebook, and Microsoft are only getting stronger as they get larger. Their secret? An enthusiastic embrace of workplace technology that's allowed them to remain nimble and inventive despite their size and age. The tech giants use internal technology to minimize the time their employees spend supporting existing products - they give their employees the chance to dream up their next new business. They then put new ideas through well-honed processes meant to bring the best to life. By looking deep into the tech giants, as speaker Alex Kantrowitz did in his newly released book, Always Day One, we see the big picture strategy driving the world's most advanced digital workplaces. Think more strategically about the digital workplace. This talk will show the broader strategy that makes installing workplace technology so important in today's economy.
Learn about the technology keeping the tech giants on top. AI, automation, and collaboration technology are core to the tech giants' success. Get the inside scoop on what they use and how they use it.
Discover the secrets behind the tech giants inventiveness. The pathways these companies build to bring ideas to life are just as important as the technology they use to help generate them. Find out how some of their most important products came to life.",Always Day One
Digital Work 2020,An Insider Guide to Building Stellar Learning & Development (*All Times EDT),"It's not enough to simply have an L&D program in place. The best learning and development programs are invisible, adjusting seamlessly to the evolving wants of the learner, while meeting business needs in real time. Learning happens in an integrated fashion, as part of the way work gets done. With the growing skills gap at work, many organizations have turned to high profile upskilling and reskilling initiatives to close it. Done right, they benefit both organizations and employees. Companies develop a more productive, more skilled and adaptable workforce. Employees get the skills they need to succeed in new and higher level roles. It’s win-win. The theory and practice of learning in the flow of work
How adaptive learning is a game changer for skill development
What needs to happen to make reskilling and upskilling a reality",GE Healthcare
Digital Work 2020,From Nesting to Neighborhoods: Minimize Spatial Scarcity and Improve Collaboration (*All Times EDT),"Growing teams, dwindling workspace -- it gets more difficult each day to thrive and remain inspired in our surroundings. UXers' space needs are significant and nuanced; constantly fluid, with spatial landmarks that draw people together. How do we utilize integrated technology that serves to connect people and work that doesn't feel like a barrier? Learn how a Google team pioneered a UX Hub to align with how we build our products.",Google
Digital Work 2020,Flexible Working - A New Era of Productivity (*All Times EDT),"Although the idea of flexible working has been around for many years, the use of technology to enable this has plateaued in recent years. The COVID-19 crisis, coupled with the expectations of Millennials and Generation Z for flexible and remote work options, has provided a much needed opportunity to reassess exactly what is required today, with a clear view for the future. Building technology capabilities which enable flexibility in the workforce has now become a MUST for all organizations. Closing the gap between employee expectations, technology delivery and support models, is the challenge. In this session we will look at the key elements of delivering a Flexible Work level of service to gain a position of advantage. We will cover how end point analytics and optimal data utilization help achieve a productive employee experience. The benefits of flexible working based on technology that matches employee expectation
How to create enhanced productivity through employee engagement amidst a flexible working environment
The opportunities created with an IT / HR collaboration when planning for long-term remote work arrangements",Nexthink
Digital Work 2020,Leveraging a Digital Workspace App to Accelerate Employee Onboarding (*All Times EDT),"Onboarding is a critical milestone in an employee's journey at any organization. Learn how you can leverage a digital workspace app to engage employees after they sign their offer letter until they join the organization, no matter if they are working at home, in an office, or both. You will learn how personalized access to a digital workspace app can support employee onboarding, from providing the pre-hire employees the tools to make their first day productive to returning employees to the office safely. This session will provide an overview to digital workplace app functionalities and opportunities that will help you select features when shopping or building a DW app, with a focus on VMWare's Workspace ONE. The value of digital workspace app for employee engagement during onboarding
Requirements of digital workspace platforms for IT and HR to support employee onboarding
Advice on building a return to office planning guide",VMware
Digital Work 2020,Unleashing the Power of Technology to Deliver Great Employee Experiences (*All Times EDT),"The way we work will never be the same. The pandemic has created a new urgency for companies to digitally transform to succeed in the face of constant change. How and where work happens has been decoupled. Agile anywhere, anytime workplaces are on the rise. Managing the complex digital workflows of a distributed workplace will be critical to providing employees the services they need to be productive. In this session we will discuss the future of the workplace: How do we ensure the health and safety of our employees as they return to the workplace? ServiceNow leaders share how to unleash the power of technology to deliver great employee experiences as part of a digital transformation.",ServiceNow
