title,description,company,industry
3D Analysis Data Generation from X-ray Data for HealthTech by DGXs [P22304],"In Japan, research on regenerative medicine is advancing, various levels of treatment are advancing, and laboratories dealing with nearly 1,000 regenerative medicine cells are starting to appear every week. Research in these regenerative treatments requires new medical imaging—to increase the resolution of two-dimensional image data, for example. Rather than discovering new indicators that map annotations, it is easier to use existing indicators or to generate images for use. Currently, a 3D image is generated from a 2D image by X-ray, and a 3D curved surface learned by a Tesla chip is developed to generate a realistic 3D image. By generating even sliced images, we provide digital data materials that can be used as reference for proceeding to MRI after X-ray imaging.","Shigehisa Omatsu, CEO, Stellaplace, Inc.",Healthcare & Life Sciences
60-fps Pose Estimation on Jetson Nano: Furinkazan Pose [P21911],"We present our pose estimation technology, named Furinkazan Pose. To our best knowledge, it's the fastest pose estimation in the world that can run perfectly on edge devices. Furinkazan Pose Lite, a lite version of the technology, runs over 4x faster (over 7x using TensorRT) than the latest OpenPose on GPU machines, and over 400x faster than OpenPose on CPU-only machines. Its model file is only 5 MB. We'll also present the standard version of Furinkazan Pose which is more accurate but still much faster than OpenPose. We'll show a live demo of the pose estimation running up to 60 fps on Jetson Nano so that you can see how accurate this super fast technology is for many potential edge-based applications.","Xiang Ruan, Founder & CEO, tiwaki Co., Ltd.",Manufacturing
Accelerating Large Seismic Simulation Code with PACC Framework [P21901],"The pipelined accelerator (PACC) helps lower the hurdle for implementing out-of-core stencil computation, such as large seismic simulations. However, the out-of-core applications themselves are facing data-movement bottlenecks because improvement of accelerators dwarfs that of interconnects. In this poster, we introduce temporal blocking techniques to reuse on-chip data, and propose a data-mapping scheme to eliminate data movement on the host side. The data-mapping scheme accelerates the program by 2.5x compared to previous work and by 35x compared to an OpenMP-based program. However, performance is still bound by data movement between the host and device, so we need to come up with further data-centric strategies. Moreover, the degradation in execution time of PACC code is about 25% compared to an in-core OpenACC code, which should be reduced if we can design further data-centric strategies.","Jingcheng Shen, Ph.D. Student, Osaka University",Higher Education / Research
Accelerating the Singular Value Decomposition: Measuring SVD Performance for Small Matrices [P21776],"Advanced algorithms for spatio-temporal signal processing of data from a phased sensor array often require singular value decompositions (SVD) of a very large number of complex-valued matrices of a relatively small size. Our poster describes a GPU-implemented SVD that we custom-designed for such signal processing applications in order to enable real-time performance. We compare our SVD with tools available in the cuSolver, MKL, and MAGMA libraries, and we document a substantial performance improvement on batches of small square matrices.","Charlotte Kotas, Research Scientist, Oak Ridge National Laboratory",National Labs / Research Computing Centers
Accelerating Unsupervised SAR Polarimetric Image Segmentation by Parallel Wishart Classifier [P21999],"Our poster presents the unsupervised segmentation of SAR polarimetric images. These images are multi-band areal images of the Earth captured by satellites with special sensors. The process required to segment these images is massive, and the task of segmentation is crucial, as through it we needed to extract important physical information of the area under observation, such as the geometric orientation, structure, shape, and configuration. We propose a much faster parallel implementation of Wishart Classification Based technique that outperforms the vanilla methods by 240%.","Shivam Patel, Visiting Research Student, University of Cambridge",Aerospace / Defense / Government
Acceleration of Test Data Quality Assurance Technology Using Neuron Coverage [P21809],"“Neuron coverage test” is one way to test quality in deep-learning systems. We've implemented “DeepXplore,” which is a quality test method for DL systems that applies our unique high-speed inference library. DeepXplore is a framework that can systematically test DL systems and automatically generate misrecognition images from the coverage rate of the trained model and the output difference of the comparison model. However, a large amount of inference would be necessary to automatically generate these misrecognition images, and that could require a lot of processing time. We sped up processing by using our unique high-speed inference library to implement DeepXplore.","Yuki Shindo, Staff, Computermind Corp.",Software
Acceleration of Wavefront Analysis Using Zernike Polynomial Fitting [P21849],"Zernike polynomial fitting can analyze the wavefront map of biological cells with uniform contents. Aberrations not only indicate changes in the wavefront after passing through cells, but also provide angular position for tomogram reconstruction. However, Zernike polynomial fitting for wavefront analysis is time-consuming. To raise efficiency, we implemented Zernike polynomial fitting on a GPU card. We simulate a sequence of red blood cell phase maps with various rotation angles, and estimate the angles using the coefficients of defocus, vertical, and horizontal tilts from Zernike analysis. The error of angle estimation is under 0.7%, and we achieve video-rate processing at 128×128 pixels. This shows the possibility for implementing wavefront analysis on a GPU card and its benefit on tomogram reconstruction.","Yang-Hsien Lin, Ph.D. Candidate, National Taiwan University",Healthcare & Life Sciences
Accurate Multiple Sclerosis Lesion Segmentation Using Deep Learning [P21889],"We present results of a comparison of multiple deep neural networks (DNNs) performing image segmentation for multiple sclerosis (MS) brain lesions. MS is an autoimmune disease that leads to demyelinating lesions in the central nervous system. Measuring disease progression via brain magnetic resonance imaging (MRI) is an important part of managing MS. Manual segmentation of MRI brain lesions by radiologists is time-consuming and subject to high user variability. Our poster shows the results of using three different DNN architectures, trained using NVIDIA GPU. You'll learn about using neural network for medical image segmentation, particularly applied to the measurement of MS brain lesions. You'll also learn about different DNN architectures, including Inception-based convolutional networks and U-Net based networks, as well as techniques used to compare automated segmentation results to each other and to human expert segmentation.","Ethan Ocasio, Chief Technology Officer, Girls Computing League",Healthcare & Life Sciences
AceCAST GPU-Enabled Weather Research and Forecasting Model Development and Applications [P22064],"The Weather Research and Forecasting (WRF) model is an open-source, mesoscale numerical weather prediction system designed to serve both operational forecasting and atmospheric research needs. It is the most widely used regional weather forecasting model and a top 5 HPC application worldwide. TQI has implemented an OpenACC/CUDA-based version of WRF to take advantage of NVIDIA GPUs. By utilizing GPUs, the measured performance benefits enable better forecasting through higher resolution, temporal/geographical extents, and so on. Our poster discusses the GPU implementation of the model as well as performance benchmarks demonstrating the model’s practical performance benefits. TQI has also developed a cloud-based solution for running end-to-end AceCAST GPU-WRF workflows on AWS. This provides a solution for a wide range of users who would otherwise not have access to GPU-based compute resources, and automates a highly complex process that is a significant barrier for researchers and operational weather forecasters.","Samuel Elliott, Director of NWP Solutions, TempoQuest Inc.",Software
Achieving Proportional-Fair Scheduling on ~100 μs Time Scale for 5G NR [P22313],"5G NR is designed to operate under a broad range of frequency spectra and to support new applications with extremely low latency. To support its diverse operating conditions, a set of different OFDM numerologies has been defined in 5G standards. Under these numerologies, it's necessary to perform scheduling with a time resolution of about 100 microseconds. This requirement poses a new challenge that doesn't exist in LTE and can't supported by any existing LTE schedulers. This poster presents a proportional-fair scheduler design that can meet the ~100 μs real-time requirement in 5G NR. The key ideas include decomposing the scheduling problem into a large number of small and independent sub-problems and selecting a subset of sub-problems from the most promising search space to fit into a GPU. Implementation on an NVIDIA Quadra P6000 GPU demonstrates that our design is able to achieve near-optimal performance while meeting the ∼100 μs time requirement.","Yan Huang, Research Assistant, Virginia Polytechnic Institute and State University",Telecommunications
Adversarial Learning of Deepfakes in Financial Accounting [P21923],"Nowadays, organizations collect vast quantities of accounting-relevant transactions, referred to as ""journal entries"" in enterprise resource planning systems. Aggregating those entries ultimately defines an organization’s financial statement. To detect potential misstatements and fraud, international audit standards demand auditors to directly assess journal entries using ""computer-assisted audit techniques"" (CAATs). At the same time, discoveries in deep-learning research revealed that machine-learning models are vulnerable to adversarial attacks. It also became evident that such attack techniques can be misused to generate ""’deepfakes"" designed to directly attack the perception of humans by creating convincingly altered media content. Research on such developments, and their potential impact on the finance and accounting domain, is still in its early stage. We show an adversarial attack against CAATs using deep-neural networks.","Marco Schreyer, Researcher, University of St. Gallen",Finance
A Framework for Measuring Hardware Gather-Scatter Support [P21887],"This poster describes a new benchmark tool, Spatter, for assessing memory system architectures in the context of indexed accesses. This type of memory operation is often used to express sparse and irregular data patterns. Gathers and scatters have widespread utility in modern HPC applications, including traditional scientific simulations, data mining and analysis computations, and graph processing. Spatter specifically measures gather / scatter (G/S) variations for multiple platforms, with several tunable backends, including CUDA and OpenMP, and provides comparison metrics for different sparse access patterns. We show how Spatter can be used to evaluate the recent improvements to G/S hardware on NVIDIA GPUs and CPUs, and show performance numbers for STREAM-like, uniform-stride, and application-derived memory access patterns.","Patrick Lavin, Ph.D. Student, Georgia Tech",National Labs / Research Computing Centers
AI Argus: A Unique Insight Into Logistics [P21812],"As of August 2019, AI Argus, the leading domestic intelligent video analytics platform powered by NVIDIA TeslaT4 and Xavier servers, has been deployed and applied in more than 200 distribution centers and sorting centers in China. We'll focus on algorithms such as loading-rate detection and violated-action pattern detection. AI Argus introduced the Package Lifecycle Tracking System (PLTS), which uses the whole SF's 310,000-channel camera video data to match the Operator's barcode data collector for locating the courier package on each operating node. It shows that the detection of damage caused by penetrating damage, moisture, wrinkles/pressure is significant. We'll further develop and research product performance indicators based on T4 and Xavier. We expect that in the coming year, AI Argus will deploy thousands of edge servers and become the first truly large-scale edge computing platform in China's logistics industry.","Neo Song, Chief Engineer, SF Techology",Software
AI-Assisted Cell Tower Inspection with Drones and GPUs [P22287],"Dive deep into the deep-learning-based efficient inspection solutions using cloud computing with GPUs. We recently launched a drone-management platform called “docomo sky”. This platform has deep-learning-based AI analytical functions using GPUs, which enable us to maintain a lot of infrastructure, such as cell towers and bridges, more efficiently and safely. We've started using this application to inspect our cell towers in Japan. We'll introduce rust recognition on cell towers and show how efficiently GPUs have been improving our work, compared to CPUs alone. Moreover, we'll touch on the cost-effective cloud design using GPUs on Amazon Web Services for AI.","Issei Nakamura, Artificial Intelligence Engineer, NTT DOCOMO, INC.",Telecommunications
AI-Enabled Live 3D Video [P21837],"Imagine watching an event (game, wedding, etc.) on the computer or TV, live from home. Wouldn’t it be a powerful experience to dynamically change the field of view and experience the event from multiple angles? You could even “walk around” the scene and select the most interesting point of view. Minmini’s Felinity technology allows us to deploy edge AI devices in a scene and extract interesting features from the cameras (people, ball, vehicles, etc.), estimate their 3D location in space, and reconstruct the scene on the remote viewer’s device, resulting in a live 3D experience. Our poster describes the components of our 3D visualization technology using an example from the sports industry. We also discuss the current levels of performance and the fields in which products built with the technology could be used.","Manisha Srinivasan, Product Manager, Minmini Corporation",Media & Entertainment
