Conference,Inc,Title,Length,Keywords,Entity,Singleton
NVIDIA GTC 2020,"Shivam Patel, Visiting Research Student, University of Cambridge",Accelerating Unsupervised SAR Polarimetric Image Segmentation by Parallel Wishart Classifier [P21999],84,"poster present,unsupervised segmentation,sar polarimetric,sar polarimetric image,multiband areal,multiband areal image,earth captured,special sensor","SAR,Wishart Classification Based",satellite
NVIDIA GTC 2020,"Jeffrey Winterich, DoD Account Chief Technologist, Hewlett Packard Enterprise",AI  The Network Edge (Presented by HPE) [S22480],61,"extreme edge,data generation,data generation occurs,session well,session well cover,unique system,unique system software,data capability,data capability required,extend ai,extreme environment,also discus","Shivam Patel, Visiting Research Student, University of Cambridge",
NVIDIA GTC 2020,"Stephane Rion, Deep Learning Scientist, Teradata",Anomaly Detection on Aircraft Sensor Data Using Deep Learning [s21454],149,"neural network,aircraft sensor,aircraft sensor data,sensor data still,data still remains,still remains unexploited,remains unexploited due,shear complexity",Airbus,"anomaly,solution,using,autoencoder,volume"
NVIDIA GTC 2020,"Milos Stanic, Product Manager, Altair Engineering",Complex 60 GPU CFD Simulations for Aerospace Gearboxes [s21788],94,"well present,unique new,unique new computational,new computational fluid,computational fluid dynamic,fluid dynamic approach,extremely complex,extremely complex multiphase","GPU,CFD,Altair nanoFluidX.","gearbox,cfd,challenge,inside,solving"
NVIDIA GTC 2020,"Hanseob Lee, Ph.D. Candidate, KAIST",Deep Learning-Based Anti-Drone System [P21900],22,"tracking drone,applying deep,applying deep learning,deep learning technology,capture drone,illegally operated",,"poster,detecting,research"
NVIDIA GTC 2020,"Tomohiko Konno, Researcher, National Institute of Information and Communications Technology",Deep-Learning Model for Finding New Superconductors [P21328],121,"first deep learning,first deep learning model,finding new,finding new superconductors",Fe,"material,obtained,database,discovered,hightemperature,2008,represented"
NVIDIA GTC 2020,"Eric Nielsen, Senior Research Scientist, Nasa Langley Research Center",Landing on Mars: Petascale Unstructured-Grid Computational Fluid Dynamics Simulations on Summit [S21584],107,"simulation well,well present,supersonic retropropulsion,land payload,land payload large,payload large enough,enable human","Oak Ridge National Laboratory,GPU,NASA Langley Research Center's,FUN3D,HPC,Summit","summit,computational,solver,investigate"
NVIDIA GTC 2020,"Masanari Kimura, Engineer, Ridge-i inc.",Large-Scale Landslides Detection from Satellite Images with Incomplete Labels [P21920],92,"landslide detection,tropical cyclone,tropical cyclone cause,cyclone cause suffering,people around,world every,world every year,resulting landslide",,"disaster,satellite,earthquake"
NVIDIA GTC 2020,"Michael Werth, Physicist, The Boeing Company",LUCID: High-Resolution Ground-Based Observations of LEO Satellites with Multi-Frame Blind Deconvolution [s21270],94,"highresolution imaging,groundbased observatory,sufficiently large,sufficiently large aperture,atmospheric turbulence,atmospheric turbulence cause,turbulence cause significant","Likelihood,Uncertainty Constrained Iterative Deconvolution,LEO","describe,deconvolution,achievable"
NVIDIA GTC 2020,"Theodore Hromadka, Senior Principal Software Engineer, Centauri",Super-Resolution of Digital Terrain Data [P21822],117,"post spacing,elevation model,elevation data,digital elevation,digital elevation model,elevation model dem,fixedgrid post,fixedgrid post spacing","DEM,LR","produce,lowresolution,feature"
NVIDIA GTC 2020,"Jonathan Worobey, Software Engineer, SURVICE Engineering",Using Robust Networks to Inform Lightweight Models in Semi-Supervised Learning for Object Detection [P21789],115,"handlabeled data,object detection,unlabeled data,lightweight model,industry practitioner,practical streamachine learningined,practical streamachine learningined data,streamachine learningined data curation,data curation workflow",,"limited,datasets"
NVIDIA GTC 2020,"Phillip Mulligan, Assistant Research Professor, Missouri University of Science and Technology",VR Blast Forensics [S21629],40,"computational physic,well present,unique approach,coupling highfidelity,coupling highfidelity computational,highfidelity computational physic,computational physic gpubased,physic gpubased solver,software unity",GPU,"produce,postblast"
NVIDIA GTC 2020,"Chinmaya Patnayak, Student, Virginia Tech",WASP: A WeArable SuPercomputing Platform for Lost Person Search-and-Rescue [P22071],145,"wearable supercomputing,wearable supercomputing platform,lost person,lost person searchandrescue,person searchandrescue sar,searchandrescue sar redefines","WASP,WeArable SuPercomputing Platform,the United States,SAR","computation,wasp,uavs,application,enhanced,backpack,searcher"
NVIDIA GTC 2020,"Xiaoyun Wang, Ph.D. Candidate, University of California, Davis",Accelerating DNN Inference with GraphBLAS and the GPU [S21796],68,"graphblas implementation,2019 sparse,2019 sparse deep,sparse deep neural,neural network,neural network graph,network graph challenge,implementation using","GPU,SuiteSparse","graphblast,gpu,suitesparse"
NVIDIA GTC 2020,"Mahantesh Halappanavar, Senior Research Scientist and Team Lead, Pacific Northwest National Laboratory",Accelerating Graph Algorithms on Exascale Systems [S21642],77,"well discus,current effort,accelerating graph,accelerating graph algorithm,energy leadership,energy leadership system,leadership system graph,system graph method,key kernel",US Department of Energy,"largescale,computational,latest"
NVIDIA GTC 2020,"Charlene Yang, Application Performance Specialist, NERSC, Lawrence Berkeley National Laboratory",Accelerating Large-Scale GW Calculations in Material Science [s21353],117,"balancing act,largescale hpc,largescale hpc code,modern gpus,architectural characteristic","HPC,cuBLAS,cuFFT,GPU,Volta,FLOPs/Watt","accelerate,technique,memory,scaling,thousand,porting"
NVIDIA GTC 2020,"Charlotte Kotas, Research Scientist, Oak Ridge National Laboratory",Accelerating the Singular Value Decomposition: Measuring SVD Performance for Small Matrices [P21776],79,"signal processing,advanced algorithm,spatiotemporal signal,spatiotemporal signal processing,phased sensor,phased sensor array,sensor array often,array often require,often require singular,require singular value","SVD,GPU,cuSolver,MKL,MAGMA","svd,performance"
NVIDIA GTC 2020,"Patrick Lavin, Ph.D. Student, Georgia Tech",A Framework for Measuring Hardware Gather-Scatter Support [P21887],115,"access pattern,poster describes,new benchmark,new benchmark tool,benchmark tool spatter,assessing memory,assessing memory system,memory system architecture","HPC,G/S,CUDA","used,sparse,scatter"
NVIDIA GTC 2020,"Akhil Langer, Senior Software Engineer, NVIDIA",A Partitioned Global Address Space Library for Large GPU Clusters [S22093],143,"cuda kernel,strong scaling,code like,well discus,well discus nvshmem,pgas library","NVSHMEM,PGAS,PCI-E,NVLink,Infiniband,CUDA,CPU,QUDA,GPU-Enabled QCD,Chroma,MILC,Breadth First Search","communication,quda,initiate,application,openshmem"
NVIDIA GTC 2020,"Tyler Masthay, Research Assistant, University of Texas at Austin",A Performance-Portable Diffusion Solver Based on Axom [P21892],120,"different architecture,sheer size,largescale multiphysics,largescale multiphysics code,multiphysics code motivate,code motivate maintenance,singlesource codebase","Mint,CPU+GPU,CUDA,API","backend,api,solver,complexity"
NVIDIA GTC 2020,"Daisuke Sugiyama, Engineer, Japan Agency for Marine-Earth Science and Technology",Applications of Convolutional Neural Network to the Important Earth Science Problems [P22283],130,"neural network,earthquake hypocenter,solar radiation,convolutional neural",,"tremor,determination,image,seismogram,learning,observation,used,applied"
NVIDIA GTC 2020,"Michael Bussmann, Head of Center for Advanced Systems Understanding, Helmholtz-Zentrum Dresden-Rossendorf",Big Lasers for Small Accelerators: Exascale Simulations for Better Cancer Therapy [S21850],134,"leverage picongpu,open source,open source multiplatform,source multiplatform particleincell,multiplatform particleincell code,particleincell code scaling,fastest supercomputer","PIConGPU,Titan","application,analysis,beam,laser"
NVIDIA GTC 2020,"Axel Huebl, Researcher, Lawrence Berkeley National Laboratory",CUDA C++ in Jupyter: Adding CUDA Runtime Support to Cling [S21588],85,"jupyter notebook,modern scientist,engineer toolbox,accelerated computing","Jupyter Notebooks,CUDA C++,REPL,Notebooks,CERN,C++,Cling","cuda,implementation,interactively,developer,omnipresent"
NVIDIA GTC 2020,"James Phillips, Senior Research Programmer, University of Illinois",Day of the Living Cell: Supercomputers Reveal Molecular Design Principles of Photosynthesis [S21500],95,"well discus,well discus developing,highly parallel,highly parallel molecular,parallel molecular dynamic,molecular dynamic code,dynamic code namd,upcoming machine,upcoming machine followed,accessible presentation","NAMD,Klaus Schulten,GPU,Oak Ridge National Laboratory",decade
NVIDIA GTC 2020,"Arvind Mohan, Postdoctoral Researcher, Los Alamos National Laboratory",Deep Learning for Efficient Modeling of High-Dimensional Spatiotemporal Physics [S22094],125,"deep neural,several research,several research problem,physical science,exceptionally complex,highdimensional exhibiting",,"scientific,learning,spatiotemporal,datasets,rom"
NVIDIA GTC 2020,"Yosang Jeong, Researcher, Korea Institute of Science and Technology Information",Dramatic Acceleration of Quantum Transport Simulations: Solving Non-Equilibrium Green's Function with GPU Devices [P21787],85,"performance enhancement,poster present,poster present indepth,present indepth discussion,technical detail,gpudriven performance,gpudriven performance enhancement","GPU,the Non-Equilibrium Green's Function,NEGF","strategy,negf,solving,nonequilibrium"
NVIDIA GTC 2020,"Kate Clark, Principal Developer Technology Engineer, NVIDIA",Effective Use of Mixed Precision for HPC [S21725],54,"well discus,using mixedprecision,using mixedprecision technique,mixedprecision technique effectively,significantly speed,currentgeneration supercomputer,numerical challenge",HPC,"practical,adopting"
